Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00037_yabA,sp|A7Z0F6|YABA_BACVZ Initiation-control protein YabA OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=RBAM_000420 PE=3 SV=1,98.3,119,2
OFBKKLGO_00038_yfiC,sp|P37543|YABB_BACSU Uncharacterized protein YabB OS=Bacillus subtilis (strain 168) OX=224308 GN=yabB PE=4 SV=1,90.7,247,23
OFBKKLGO_00039_group_821,sp|A7Z0F8|Y044_BACVZ UPF0213 protein RBAM_000440 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=RBAM_000440 PE=3 SV=1,98.0,99,2
OFBKKLGO_00040_rsmI,sp|P37544|RSMI_BACSU Ribosomal RNA small subunit methyltransferase I OS=Bacillus subtilis (strain 168) OX=224308 GN=rsmI PE=3 SV=1,83.9,292,46
OFBKKLGO_00041_abrB,sp|P08874|ABRB_BACSU Transition state regulatory protein AbrB OS=Bacillus subtilis (strain 168) OX=224308 GN=abrB PE=1 SV=1,97.9,94,2
OFBKKLGO_00042_metG,sp|P37465|SYM_BACSU Methionine--tRNA ligase OS=Bacillus subtilis (strain 168) OX=224308 GN=metG PE=3 SV=1,91.1,664,58
OFBKKLGO_00044_group_2629,sp|P37546|YABE_BACSU Putative cell wall shaping protein YabE OS=Bacillus subtilis (strain 168) OX=224308 GN=yabE PE=2 SV=2,67.3,407,128
OFBKKLGO_00045_rnmV_1,sp|P37547|RNM5_BACSU Ribonuclease M5 OS=Bacillus subtilis (strain 168) OX=224308 GN=rnmV PE=1 SV=1,90.9,186,17
OFBKKLGO_00046_rsmA,sp|P37468|RSMA_BACSU Ribosomal RNA small subunit methyltransferase A OS=Bacillus subtilis (strain 168) OX=224308 GN=rsmA PE=1 SV=1,93.1,291,20
OFBKKLGO_00047_yabG,sp|P37548|YABG_BACSU Sporulation-specific protease YabG OS=Bacillus subtilis (strain 168) OX=224308 GN=yabG PE=2 SV=1,86.9,290,38
OFBKKLGO_00048_veg,sp|P37466|VEG_BACSU Protein Veg OS=Bacillus subtilis (strain 168) OX=224308 GN=veg PE=1 SV=1,100.0,86,0
OFBKKLGO_00049_group_16234,sp|P37549|SSPF_BACSU Protein SspF OS=Bacillus subtilis (strain 168) OX=224308 GN=sspF PE=3 SV=1,93.5,62,3
OFBKKLGO_00050_ispE,sp|A7Z0G9|ISPE_BACVZ 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=ispE PE=3 SV=1,99.3,289,2
OFBKKLGO_00051_purR,sp|P37551|PURR_BACSU Pur operon repressor OS=Bacillus subtilis (strain 168) OX=224308 GN=purR PE=1 SV=1,93.7,284,18
OFBKKLGO_00052_yabJ,sp|P37552|RIDA_BACSU 2-iminobutanoate/2-iminopropanoate deaminase OS=Bacillus subtilis (strain 168) OX=224308 GN=yabJ PE=1 SV=3,94.4,125,7
OFBKKLGO_00053_spoVG,sp|A7Z0H2|SP5G_BACVZ Putative septation protein SpoVG OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=spoVG PE=3 SV=1,99.0,97,1
OFBKKLGO_00054_glmU,sp|A7Z0H3|GLMU_BACVZ Bifunctional protein GlmU OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=glmU PE=3 SV=1,99.1,456,4
OFBKKLGO_00055_prs,sp|P14193|KPRS_BACSU Ribose-phosphate pyrophosphokinase OS=Bacillus subtilis (strain 168) OX=224308 GN=prs PE=1 SV=1,96.2,317,12
OFBKKLGO_00056_ctc,sp|A7Z0H5|RL25_BACVZ 50S ribosomal protein L25 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplY PE=3 SV=1,97.5,202,5
OFBKKLGO_00057_pth,sp|A7Z0H6|PTH_BACVZ Peptidyl-tRNA hydrolase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=pth PE=3 SV=1,98.9,188,2
OFBKKLGO_00058_fin,sp|P37553|FIN_BACSU Anti-sigma-F factor Fin OS=Bacillus subtilis (strain 168) OX=224308 GN=fin PE=1 SV=1,84.2,76,12
OFBKKLGO_00059_mfd,sp|P37474|MFD_BACSU Transcription-repair-coupling factor OS=Bacillus subtilis (strain 168) OX=224308 GN=mfd PE=3 SV=1,90.8,1177,108
OFBKKLGO_00061_murJ_1,sp|P37555|YABM_BACSU Uncharacterized membrane protein YabM OS=Bacillus subtilis (strain 168) OX=224308 GN=yabM PE=3 SV=1,66.1,531,174
OFBKKLGO_00062_group_3077,sp|P37556|YABN_BACSU Uncharacterized protein YabN OS=Bacillus subtilis (strain 168) OX=224308 GN=yabN PE=4 SV=1,76.1,490,115
OFBKKLGO_00063_group_5774,sp|P37557|YABO_BACSU Uncharacterized protein YabO OS=Bacillus subtilis (strain 168) OX=224308 GN=yabO PE=4 SV=1,91.9,86,7
OFBKKLGO_00064_yabP,sp|P37558|YABP_BACSU Spore protein YabP OS=Bacillus subtilis (strain 168) OX=224308 GN=yabP PE=2 SV=1,98.0,100,2
OFBKKLGO_00066_divIC,sp|P37471|DIVIC_BACSU Cell division protein DivIC OS=Bacillus subtilis (strain 168) OX=224308 GN=divIC PE=1 SV=1,84.0,125,20
OFBKKLGO_00067_pnp_1,sp|P37560|YABR_BACSU Uncharacterized protein YabR OS=Bacillus subtilis (strain 168) OX=224308 GN=yabR PE=3 SV=1,99.2,128,1
OFBKKLGO_00069_group_16125,sp|P37561|YABS_BACSU Uncharacterized protein YabS OS=Bacillus subtilis (strain 168) OX=224308 GN=yabS PE=4 SV=1,93.5,245,16
OFBKKLGO_00071_tilS,sp|P37563|TILS_BACSU tRNA(Ile)-lysidine synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=tilS PE=1 SV=2,78.3,470,102
OFBKKLGO_00072_hpt,sp|P37472|HGPRT_BACSU Hypoxanthine-guanine phosphoribosyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=hprT PE=3 SV=1,95.5,179,8
OFBKKLGO_00073_ftsH,sp|P37476|FTSH_BACSU ATP-dependent zinc metalloprotease FtsH OS=Bacillus subtilis (strain 168) OX=224308 GN=ftsH PE=1 SV=1,96.4,639,21
OFBKKLGO_00074_coaX,sp|A7Z0J3|COAX_BACVZ Type III pantothenate kinase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=coaX PE=3 SV=1,99.2,246,2
OFBKKLGO_00075_hslO,sp|A7Z0J4|HSLO_BACVZ 33 kDa chaperonin OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=hslO PE=3 SV=1,99.3,291,2
OFBKKLGO_00077_cysK_1,sp|P37887|CYSK_BACSU Cysteine synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=cysK PE=1 SV=3,92.5,308,23
OFBKKLGO_00078_pabB,sp|P28820|PABB_BACSU Aminodeoxychorismate synthase component 1 OS=Bacillus subtilis (strain 168) OX=224308 GN=pabB PE=1 SV=1,83.8,469,75
OFBKKLGO_00079_pabA,sp|P28819|PABA_BACSU Aminodeoxychorismate/anthranilate synthase component 2 OS=Bacillus subtilis (strain 168) OX=224308 GN=pabA PE=2 SV=1,89.6,193,20
OFBKKLGO_00080_pabC,sp|P28821|PABC_BACSU Aminodeoxychorismate lyase OS=Bacillus subtilis (strain 168) OX=224308 GN=pabC PE=3 SV=1,70.0,280,84
OFBKKLGO_00081_folP,sp|P28822|DHPS_BACSU Dihydropteroate synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=sul PE=3 SV=2,84.9,285,43
OFBKKLGO_00082_folB,sp|P28823|FOLB_BACSU Dihydroneopterin aldolase OS=Bacillus subtilis (strain 168) OX=224308 GN=folB PE=3 SV=1,90.8,120,11
OFBKKLGO_00083_sulD,sp|P29252|HPPK_BACSU 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase OS=Bacillus subtilis (strain 168) OX=224308 GN=folK PE=3 SV=2,80.8,167,32
OFBKKLGO_00085_dusB,sp|P37567|DUS1_BACSU Probable tRNA-dihydrouridine synthase 1 OS=Bacillus subtilis (strain 168) OX=224308 GN=dus1 PE=3 SV=1,93.1,333,23
OFBKKLGO_00086_lysS,sp|P37477|SYK_BACSU Lysine--tRNA ligase OS=Bacillus subtilis (strain 168) OX=224308 GN=lysS PE=3 SV=1,94.4,499,28
OFBKKLGO_00088_ctsR,sp|P37568|CTSR_BACSU Transcriptional regulator CtsR OS=Bacillus subtilis (strain 168) OX=224308 GN=ctsR PE=1 SV=1,96.8,154,5
OFBKKLGO_00089_mcsA,sp|P37569|MCSA_BACSU Protein-arginine kinase activator protein OS=Bacillus subtilis (strain 168) OX=224308 GN=mcsA PE=1 SV=1,73.6,125,33
OFBKKLGO_00090_mcsB,sp|A7Z0K7|MCSB_BACVZ Protein-arginine kinase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=mcsB PE=3 SV=1,99.2,363,3
OFBKKLGO_00091_clpC,sp|P37571|CLPC_BACSU Negative regulator of genetic competence ClpC/MecB OS=Bacillus subtilis (strain 168) OX=224308 GN=clpC PE=1 SV=1,96.3,811,29
OFBKKLGO_00093_disA,sp|P37573|DISA_BACSU DNA integrity scanning protein DisA OS=Bacillus subtilis (strain 168) OX=224308 GN=disA PE=1 SV=1,94.7,360,19
OFBKKLGO_00094_yacL,sp|Q06754|YACL_BACSU Uncharacterized PIN and TRAM-domain containing protein YacL OS=Bacillus subtilis (strain 168) OX=224308 GN=yacL PE=2 SV=2,95.9,366,15
OFBKKLGO_00095_ispD,sp|A7Z0L2|ISPD_BACVZ 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=ispD PE=3 SV=1,97.0,232,7
OFBKKLGO_00096_ispF,"sp|A7Z0L3|ISPF_BACVZ 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=ispF PE=3 SV=1",98.7,158,2
OFBKKLGO_00097_gltX,sp|A7Z0L4|SYE_BACVZ Glutamate--tRNA ligase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=gltX PE=3 SV=1,98.1,483,9
OFBKKLGO_00099_cysE,sp|Q06750|CYSE_BACSU Serine acetyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=cysE PE=1 SV=1,90.8,217,20
OFBKKLGO_00100_cysS,sp|A7Z0L6|SYC_BACVZ Cysteine--tRNA ligase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=cysS PE=3 SV=1,99.6,466,2
OFBKKLGO_00101_mrnC,sp|O31418|MRNC_BACSU Mini-ribonuclease 3 OS=Bacillus subtilis (strain 168) OX=224308 GN=mrnC PE=1 SV=1,86.7,143,19
OFBKKLGO_00102_group_5781,sp|Q06753|YACO_BACSU Putative TrmH family tRNA/rRNA methyltransferase YacO OS=Bacillus subtilis (strain 168) OX=224308 GN=yacO PE=3 SV=2,94.0,249,15
OFBKKLGO_00103_yacP,sp|P37574|YACP_BACSU Uncharacterized protein YacP OS=Bacillus subtilis (strain 168) OX=224308 GN=yacP PE=1 SV=1,92.9,170,12
OFBKKLGO_00104_sigH,sp|P17869|RPSH_BACSU RNA polymerase sigma-H factor OS=Bacillus subtilis (strain 168) OX=224308 GN=sigH PE=1 SV=1,97.2,218,6
OFBKKLGO_00105_secE,sp|Q06799|SECE_BACSU Protein translocase subunit SecE OS=Bacillus subtilis (strain 168) OX=224308 GN=secE PE=3 SV=1,96.6,59,2
OFBKKLGO_00106_nusG_1,sp|Q06795|NUSG_BACSU Transcription termination/antitermination protein NusG OS=Bacillus subtilis (strain 168) OX=224308 GN=nusG PE=1 SV=1,98.3,177,3
OFBKKLGO_00107_rplK,sp|Q06796|RL11_BACSU 50S ribosomal protein L11 OS=Bacillus subtilis (strain 168) OX=224308 GN=rplK PE=1 SV=3,100.0,140,0
OFBKKLGO_00108_rplA,sp|A7Z0M5|RL1_BACVZ 50S ribosomal protein L1 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplA PE=3 SV=1,99.1,232,2
OFBKKLGO_00110_rplJ,sp|A7Z0M6|RL10_BACVZ 50S ribosomal protein L10 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplJ PE=3 SV=1,98.8,166,2
OFBKKLGO_00111_rplL,sp|P02394|RL7_BACSU 50S ribosomal protein L7/L12 OS=Bacillus subtilis (strain 168) OX=224308 GN=rplL PE=1 SV=4,100.0,123,0
OFBKKLGO_00112_rlmG,sp|P37872|YBXB_BACSU Uncharacterized protein YbxB OS=Bacillus subtilis (strain 168) OX=224308 GN=ybxB PE=3 SV=1,87.1,201,26
OFBKKLGO_00113_rpoB,sp|A7Z0M9|RPOB_BACVZ DNA-directed RNA polymerase subunit beta OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpoB PE=3 SV=1,99.9,1193,1
OFBKKLGO_00114_rpoC,sp|A7Z0N0|RPOC_BACVZ DNA-directed RNA polymerase subunit beta' OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpoC PE=3 SV=1,99.5,1199,6
OFBKKLGO_00115_rplGB,sp|P46350|RXL7_BACSU Ribosome-associated protein L7Ae-like OS=Bacillus subtilis (strain 168) OX=224308 GN=rplGB PE=1 SV=3,82.9,82,13
OFBKKLGO_00116_rpsL,sp|A7Z0N2|RS12_BACVZ 30S ribosomal protein S12 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsL PE=3 SV=1,100.0,138,0
OFBKKLGO_00117_rpsG,sp|A7Z0N3|RS7_BACVZ 30S ribosomal protein S7 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsG PE=3 SV=1,100.0,156,0
OFBKKLGO_00118_fusA,sp|A7Z0N4|EFG_BACVZ Elongation factor G OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=fusA PE=3 SV=1,100.0,692,0
OFBKKLGO_00119_tuf,sp|A7Z0N5|EFTU_BACVZ Elongation factor Tu OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=tuf PE=3 SV=1,99.5,396,2
OFBKKLGO_00121_rpsJ,sp|Q65PA8|RS10_BACLD 30S ribosomal protein S10 OS=Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46) OX=279010 GN=rpsJ PE=3 SV=1,100.0,102,0
OFBKKLGO_00122_rplC,sp|A7Z0N8|RL3_BACVZ 50S ribosomal protein L3 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplC PE=3 SV=1,99.0,209,2
OFBKKLGO_00123_rplD,sp|A7Z0N9|RL4_BACVZ 50S ribosomal protein L4 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplD PE=3 SV=1,100.0,207,0
OFBKKLGO_00124_rplW,sp|P42924|RL23_BACSU 50S ribosomal protein L23 OS=Bacillus subtilis (strain 168) OX=224308 GN=rplW PE=1 SV=2,100.0,95,0
OFBKKLGO_00125_rplB,sp|A7Z0P1|RL2_BACVZ 50S ribosomal protein L2 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplB PE=3 SV=1,99.6,277,1
OFBKKLGO_00126_rpsS,sp|P21476|RS19_BACSU 30S ribosomal protein S19 OS=Bacillus subtilis (strain 168) OX=224308 GN=rpsS PE=1 SV=3,100.0,92,0
OFBKKLGO_00127_rplV,sp|P42060|RL22_BACSU 50S ribosomal protein L22 OS=Bacillus subtilis (strain 168) OX=224308 GN=rplV PE=1 SV=1,100.0,113,0
OFBKKLGO_00128_rpsC,sp|A7Z0P4|RS3_BACVZ 30S ribosomal protein S3 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsC PE=3 SV=1,99.5,218,1
OFBKKLGO_00129_rplP,sp|A8F992|RL16_BACP2 50S ribosomal protein L16 OS=Bacillus pumilus (strain SAFR-032) OX=315750 GN=rplP PE=3 SV=1,100.0,144,0
OFBKKLGO_00130_rpmC,sp|P12873|RL29_BACSU 50S ribosomal protein L29 OS=Bacillus subtilis (strain 168) OX=224308 GN=rpmC PE=1 SV=1,100.0,66,0
OFBKKLGO_00131_rpsQ,sp|A7Z0P7|RS17_BACVZ 30S ribosomal protein S17 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsQ PE=3 SV=1,97.7,87,2
OFBKKLGO_00132_rplN,sp|P12875|RL14_BACSU 50S ribosomal protein L14 OS=Bacillus subtilis (strain 168) OX=224308 GN=rplN PE=1 SV=1,99.2,122,1
OFBKKLGO_00133_rplX,sp|E0TZF9|RL24_BACPZ 50S ribosomal protein L24 OS=Bacillus subtilis subsp. spizizenii (strain ATCC 23059 / NRRL B-14472 / W23) OX=655816 GN=rplX PE=3 SV=1,98.1,103,2
OFBKKLGO_00134_rplE,sp|A7Z0Q0|RL5_BACVZ 50S ribosomal protein L5 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplE PE=3 SV=1,99.4,179,1
OFBKKLGO_00135_rpsN1,sp|A7Z0Q1|RS14Z_BACVZ 30S ribosomal protein S14 type Z OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsZ PE=3 SV=1,98.4,61,1
OFBKKLGO_00136_rpsH,sp|A7Z0Q2|RS8_BACVZ 30S ribosomal protein S8 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsH PE=3 SV=1,100.0,132,0
OFBKKLGO_00137_rplF,sp|A7Z0Q3|RL6_BACVZ 50S ribosomal protein L6 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplF PE=3 SV=1,98.9,179,2
OFBKKLGO_00138_rplR,sp|A7Z0Q4|RL18_BACVZ 50S ribosomal protein L18 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplR PE=3 SV=1,99.2,120,1
OFBKKLGO_00139_rpsE,sp|A7Z0Q5|RS5_BACVZ 30S ribosomal protein S5 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsE PE=3 SV=1,100.0,168,0
OFBKKLGO_00140_rpmD,sp|P19947|RL30_BACSU 50S ribosomal protein L30 OS=Bacillus subtilis (strain 168) OX=224308 GN=rpmD PE=1 SV=2,100.0,59,0
OFBKKLGO_00141_rplO,sp|A7Z0Q7|RL15_BACVZ 50S ribosomal protein L15 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplO PE=3 SV=1,99.3,146,1
OFBKKLGO_00142_secY,sp|P16336|SECY_BACSU Protein translocase subunit SecY OS=Bacillus subtilis (strain 168) OX=224308 GN=secY PE=3 SV=1,96.5,431,15
OFBKKLGO_00143_adk,sp|A7Z0Q9|KAD_BACVZ Adenylate kinase OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=adk PE=3 SV=1,99.5,217,1
OFBKKLGO_00144_map,sp|P19994|MAP11_BACSU Methionine aminopeptidase 1 OS=Bacillus subtilis (strain 168) OX=224308 GN=map PE=1 SV=1,96.8,248,8
OFBKKLGO_00145_infA,sp|P20458|IF1_BACSU Translation initiation factor IF-1 OS=Bacillus subtilis (strain 168) OX=224308 GN=infA PE=1 SV=2,100.0,72,0
OFBKKLGO_00146_rpmJ,sp|Q65P82|RL36_BACLD 50S ribosomal protein L36 OS=Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46) OX=279010 GN=rpmJ PE=3 SV=1,100.0,37,0
OFBKKLGO_00147_rpsM,sp|A7Z0R3|RS13_BACVZ 30S ribosomal protein S13 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsM PE=3 SV=1,100.0,121,0
OFBKKLGO_00148_rpsK,sp|A7Z0R4|RS11_BACVZ 30S ribosomal protein S11 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsK PE=3 SV=1,99.2,131,1
OFBKKLGO_00149_rpoA,sp|A7Z0R5|RPOA_BACVZ DNA-directed RNA polymerase subunit alpha OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpoA PE=3 SV=1,100.0,314,0
OFBKKLGO_00150_rplQ,sp|A7Z0R6|RL17_BACVZ 50S ribosomal protein L17 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rplQ PE=3 SV=1,100.0,120,0
OFBKKLGO_00151_ecfA1,sp|P40735|ECFA1_BACSU Energy-coupling factor transporter ATP-binding protein EcfA1 OS=Bacillus subtilis (strain 168) OX=224308 GN=ecfA PE=3 SV=3,89.0,281,31
OFBKKLGO_00152_ecfA2,sp|P70970|ECFA2_BACSU Energy-coupling factor transporter ATP-binding protein EcfA2 OS=Bacillus subtilis (strain 168) OX=224308 GN=ecfAB PE=3 SV=1,83.9,274,44
OFBKKLGO_00153_ecfT,sp|P70972|ECFT_BACSU Energy-coupling factor transporter transmembrane protein EcfT OS=Bacillus subtilis (strain 168) OX=224308 GN=ecfT PE=1 SV=3,87.9,265,32
OFBKKLGO_00154_truA,sp|A7Z0S0|TRUA_BACVZ tRNA pseudouridine synthase A OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=truA PE=3 SV=1,97.2,247,7
OFBKKLGO_00156_rplM,sp|A8F9B8|RL13_BACP2 50S ribosomal protein L13 OS=Bacillus pumilus (strain SAFR-032) OX=315750 GN=rplM PE=3 SV=1,97.9,145,3
OFBKKLGO_00157_rpsI,sp|A7Z0S2|RS9_BACVZ 30S ribosomal protein S9 OS=Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / FZB42) OX=326423 GN=rpsI PE=3 SV=1,99.2,130,1
OFBKKLGO_00158_group_4401,sp|P70976|YBAJ_BACSU Uncharacterized methyltransferase YbaJ OS=Bacillus subtilis (strain 168) OX=224308 GN=ybaJ PE=3 SV=2,78.0,255,56
