Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00113_rpoB,"BS_rpoB [K] COG0085 DNA-directed RNA polymerase, beta subunit/140 kD subunit",98.0,1193,24
OFBKKLGO_00114_rpoC,"BS_rpoC [K] COG0086 DNA-directed RNA polymerase, beta' subunit/160 kD subunit",97.7,1199,27
OFBKKLGO_00115_rplGB,BS_ybxF [J] COG1358 Ribosomal protein HS6-type (S12/L30/L7a),82.9,82,13
OFBKKLGO_00116_rpsL,BS_rpsL [J] COG0048 Ribosomal protein S12,97.1,138,4
OFBKKLGO_00117_rpsG,BS_rpsG [J] COG0049 Ribosomal protein S7,98.7,156,2
OFBKKLGO_00118_fusA,BS_fus [J] COG0480 Translation elongation factors (GTPases),97.7,692,16
OFBKKLGO_00119_tuf,BS_tufA [J] COG0050 GTPases - translation elongation factors,97.0,396,12
OFBKKLGO_00121_rpsJ,BS_rpsJ [J] COG0051 Ribosomal protein S10,100.0,102,0
OFBKKLGO_00122_rplC,BS_rplC [J] COG0087 Ribosomal protein L3,97.1,209,6
OFBKKLGO_00123_rplD,BS_rplD [J] COG0088 Ribosomal protein L4,97.6,207,5
OFBKKLGO_00124_rplW,BS_rplW [J] COG0089 Ribosomal protein L23,97.9,95,2
OFBKKLGO_00125_rplB,BS_rplB [J] COG0090 Ribosomal protein L2,97.5,277,7
OFBKKLGO_00126_rpsS,BS_rpsS [J] COG0185 Ribosomal protein S19,100.0,92,0
OFBKKLGO_00127_rplV,BS_rplV [J] COG0091 Ribosomal protein L22,100.0,113,0
OFBKKLGO_00128_rpsC,BS_rpsC [J] COG0092 Ribosomal protein S3,97.7,218,5
OFBKKLGO_00129_rplP,BS_rplP [J] COG0197 Ribosomal protein L16/L10E,99.3,144,1
OFBKKLGO_00130_rpmC,BS_rpmC [J] COG0255 Ribosomal protein L29,100.0,66,0
OFBKKLGO_00131_rpsQ,BS_rpsQ [J] COG0186 Ribosomal protein S17,94.3,87,5
OFBKKLGO_00132_rplN,BS_rplN [J] COG0093 Ribosomal protein L14,99.2,122,1
OFBKKLGO_00133_rplX,BS_rplX [J] COG0198 Ribosomal protein L24,98.1,103,2
OFBKKLGO_00134_rplE,BS_rplE [J] COG0094 Ribosomal protein L5,97.8,179,4
OFBKKLGO_00135_rpsN1,BS_rpsN [J] COG0199 Ribosomal protein S14,98.4,61,1
OFBKKLGO_00136_rpsH,BS_rpsH [J] COG0096 Ribosomal protein S8,97.7,132,3
OFBKKLGO_00137_rplF,BS_rplF [J] COG0097 Ribosomal protein L6P/L9E,96.6,179,6
OFBKKLGO_00138_rplR,BS_rplR [J] COG0256 Ribosomal protein L18,93.3,120,8
OFBKKLGO_00139_rpsE,BS_rpsE [J] COG0098 Ribosomal protein S5,99.4,166,1
OFBKKLGO_00140_rpmD,BS_rpmD [J] COG1841 Ribosomal protein L30/L7E,100.0,59,0
OFBKKLGO_00141_rplO,BS_rplO [J] COG0200 Ribosomal protein L15,97.9,146,3
OFBKKLGO_00142_secY,BS_secY [U] COG0201 Preprotein translocase subunit SecY,96.5,431,15
OFBKKLGO_00143_adk,BS_adk [F] COG0563 Adenylate kinase and related kinases,95.4,217,10
OFBKKLGO_00144_map,BS_map [J] COG0024 Methionine aminopeptidase,96.8,248,8
OFBKKLGO_00145_infA,BS_infA [J] COG0361 Translation initiation factor 1 (IF-1),100.0,72,0
OFBKKLGO_00146_rpmJ,BS_rpmJ [J] COG0257 Ribosomal protein L36,100.0,37,0
OFBKKLGO_00147_rpsM,BS_rpsM [J] COG0099 Ribosomal protein S13,97.5,121,3
OFBKKLGO_00148_rpsK,BS_rpsK [J] COG0100 Ribosomal protein S11,99.2,131,1
OFBKKLGO_00149_rpoA,"BS_rpoA [K] COG0202 DNA-directed RNA polymerase, alpha subunit/40 kD subunit",99.0,314,3
OFBKKLGO_00150_rplQ,BS_rplQ [J] COG0203 Ribosomal protein L17,99.2,120,1
OFBKKLGO_00151_ecfA1,"BS_ybxA [P] COG1122 ABC-type cobalt transport system, ATPase component",88.3,281,33
OFBKKLGO_00152_ecfA2,"BS_ybaE [P] COG1122 ABC-type cobalt transport system, ATPase component",83.9,274,44
OFBKKLGO_00153_ecfT,"BS_ybaF [P] COG0619 ABC-type cobalt transport system, permease component CbiQ and related transporters",86.8,265,35
OFBKKLGO_00154_truA,BS_truA [J] COG0101 Pseudouridylate synthase,86.2,247,34
OFBKKLGO_00156_rplM,BS_rplM [J] COG0102 Ribosomal protein L13,95.9,145,6
OFBKKLGO_00157_rpsI,BS_rpsI [J] COG0103 Ribosomal protein S9,97.7,130,3
OFBKKLGO_00158_group_4401,BS_ybaJ [QR] COG0500 SAM-dependent methyltransferases,78.0,255,56
OFBKKLGO_00161_cwlD,BS_cwlD [M] COG0860 N-acetylmuramoyl-L-alanine amidase,86.5,237,32
OFBKKLGO_00162_salA,BS_ybaL [D] COG0489 ATPases involved in chromosome partitioning,89.6,347,36
OFBKKLGO_00165_group_3395,BS_ybaN [G] COG0726 Predicted xylanase/chitin deacetylase,78.3,253,55
OFBKKLGO_00168_lysJ,CAC0368 [E] COG0160 4-aminobutyrate aminotransferase and related aminotransferases,40.6,397,215
OFBKKLGO_00172_panS_1,BS_ybaS [R] COG0385 Predicted Na+-dependent transporter,79.5,278,57
OFBKKLGO_00174_feuC_1,"BS_feuC [P] COG0609 ABC-type Fe3+-siderophore transport system, permease component",83.0,312,53
OFBKKLGO_00175_feuB_1,"BS_feuB [P] COG0609 ABC-type Fe3+-siderophore transport system, permease component",85.3,334,49
OFBKKLGO_00176_feuA,"BS_feuA [P] COG0614 ABC-type Fe3+-hydroxamate transport system, periplasmic component",83.3,318,52
OFBKKLGO_00178_group_5792,BS_ybbC [S] COG3876 Uncharacterized protein conserved in bacteria,75.0,408,102
OFBKKLGO_00179_nagZ,BS_ybbD [G] COG1472 Beta-glucosidase-related glycosidases,75.4,638,152
OFBKKLGO_00181_group_3400,"BS_ybbF_2 [G] COG1263 Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",82.0,284,51
OFBKKLGO_00182_murQ,BS_ybbI [R] COG2103 Predicted sugar phosphate isomerase,73.5,302,80
OFBKKLGO_00184_group_3402,BS_ybbK [S] COG1683 Uncharacterized conserved protein,84.7,150,23
OFBKKLGO_00185_sigW,"BS_sigW [K] COG1595 DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",94.7,187,10
OFBKKLGO_00186_rsiW,BS_ybbM [K] COG5662 Predicted transmembrane transcriptional regulator (anti-sigma factor),83.7,208,34
OFBKKLGO_00187_cdaA,BS_ybbP [S] COG1624 Uncharacterized conserved protein,96.0,273,11
OFBKKLGO_00188_cdaR_1,BS_ybbR [S] COG4856 Uncharacterized protein conserved in bacteria,84.9,418,63
OFBKKLGO_00189_glmM,BS_ybbT [G] COG1109 Phosphomannomutase,95.1,448,22
OFBKKLGO_00197_dkgB,"L67726 [R] COG0656 Aldo/keto reductases, related to diketogulonate reductase",52.2,278,131
OFBKKLGO_00201_yifK,BS_ybxG [E] COG1113 Gamma-aminobutyrate permease and related permeases,89.6,460,48
OFBKKLGO_00224_purT,BS_purT [F] COG0027 Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase),85.8,381,54
OFBKKLGO_00225_group_16181,BS_pssA [I] COG1183 Phosphatidylserine synthase,86.4,176,24
OFBKKLGO_00226_dedA,BS_ybfM [S] COG0586 Uncharacterized membrane-associated protein,83.3,162,27
OFBKKLGO_00227_psd,BS_psd [I] COG0688 Phosphatidylserine decarboxylase,77.2,263,60
OFBKKLGO_00229_group_5798,BS_ybfQ [R] COG1054 Predicted sulfurtransferase,89.1,320,35
OFBKKLGO_00230_gltP,BS_gltP [C] COG1301 Na+/H+-dicarboxylate symporters,92.0,411,33
OFBKKLGO_00231_ilvE,BS_ybgE [EH] COG0115 Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,75.0,356,88
OFBKKLGO_00232_rocC_2,BS_ybgF [E] COG0833 Amino acid transporters,85.1,456,68
OFBKKLGO_00233_mmuM,BS_ybgG [E] COG2040 Homocysteine/selenocysteine methylase (S-methylmethionine-dependent),73.7,315,83
OFBKKLGO_00234_alsT_2,BS_ybgH [E] COG1115 Na+/alanine symporter,83.8,450,73
OFBKKLGO_00235_glsA1,BS_ybgJ [E] COG2066 Glutaminase,85.6,327,47
OFBKKLGO_00248_cwlJ,BS_cwlJ [M] COG3773 Cell wall hydrolyses involved in spore germination,88.7,142,16
OFBKKLGO_00250_tatAd,BS_yczB [U] COG1826 Sec-independent protein secretion pathway components,74.3,70,13
OFBKKLGO_00251_tatC1,BS_ycbT [U] COG0805 Sec-independent protein secretion pathway component TatC,74.6,244,59
OFBKKLGO_00252_pcp,BS_pcp [O] COG2039 Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase),71.6,215,61
OFBKKLGO_00254_emrY,BS_lmrB [GEPR] COG0477 Permeases of the major facilitator superfamily,87.3,474,60
OFBKKLGO_00255_yxaF_1,BS_lmrA [K] COG1309 Transcriptional regulator,69.5,187,57
OFBKKLGO_00256_estA,BS_lipA [R] COG1075 Predicted acetyltransferases and hydrolases with the alpha/beta hydrolase fold,77.6,214,46
OFBKKLGO_00257_group_4416,BS_yccF [R] COG3318 Predicted metal-binding protein related to the C-terminal domain of SecA,77.7,358,78
OFBKKLGO_00262_cwlK,lin0128 [M] COG5632 N-acetylmuramoyl-L-alanine amidase,50.0,106,45
OFBKKLGO_00268_znuA,"BS_ycdH [P] COG0803 ABC-type metal ion transport system, periplasmic component/surface adhesin",83.4,319,52
OFBKKLGO_00269_znuC,"BS_ycdI [P] COG1121 ABC-type Mn/Zn transport systems, ATPase component",90.9,231,21
OFBKKLGO_00270_znuB,"BS_yceA [P] COG1108 ABC-type Mn2+/Zn2+ transport systems, permease components",89.5,276,29
OFBKKLGO_00271_group_1698,"BS_yceB [C] COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",79.7,311,63
OFBKKLGO_00272_yceC,"BS_yceC [T] COG2310 Uncharacterized proteins involved in stress response, homologs of TerZ and putative cAMP-binding protein CABP1",83.3,198,32
OFBKKLGO_00273_yceD_1,"BS_yceD [T] COG2310 Uncharacterized proteins involved in stress response, homologs of TerZ and putative cAMP-binding protein CABP1",93.3,193,13
OFBKKLGO_00274_yceD_2,"BS_yceE [T] COG2310 Uncharacterized proteins involved in stress response, homologs of TerZ and putative cAMP-binding protein CABP1",95.8,192,8
OFBKKLGO_00275_alx,"BS_yceF [P] COG0861 Membrane protein TerC, possibly involved in tellurium resistance",91.4,257,22
OFBKKLGO_00277_group_16236,BS_yceH [P] COG3853 Uncharacterized protein involved in tellurite resistance,91.4,359,31
OFBKKLGO_00278_naiP,BS_yceI [GEPR] COG0477 Permeases of the major facilitator superfamily,79.4,399,81
OFBKKLGO_00280_opuAA,"BS_opuAA [E] COG4175 ABC-type proline/glycine betaine transport system, ATPase component",91.4,418,36
OFBKKLGO_00281_opuAB,"BS_opuAB [E] COG4176 ABC-type proline/glycine betaine transport system, permease component",95.0,282,14
OFBKKLGO_00282_opuAC,"BS_opuAC [E] COG2113 ABC-type proline/glycine betaine transport systems, periplasmic components",84.3,293,46
OFBKKLGO_00283_scmP_1,BS_amhX [R] COG1473 Metal-dependent amidase/aminoacylase/carboxypeptidase,82.5,366,64
OFBKKLGO_00287_ldh_2,BS_lctE [C] COG0039 Malate/lactate dehydrogenases,88.3,317,37
OFBKKLGO_00291_group_1196,BS_yqcI [S] COG3403 Uncharacterized conserved protein,66.7,246,82
OFBKKLGO_00294_nadE,BS_nadE [H] COG0171 NAD synthase,86.4,272,37
OFBKKLGO_00296_dgoT,STM3827 [GEPR] COG0477 Permeases of the major facilitator superfamily,46.3,430,224
OFBKKLGO_00297_aroK,BS_aroI [E] COG0703 Shikimate kinase,90.9,186,17
OFBKKLGO_00298_cah,BS_cah [Q] COG3458 Acetyl esterase (deacetylase),83.3,318,53
OFBKKLGO_00300_putB,BS_ycgM [E] COG0506 Proline dehydrogenase,89.8,303,31
OFBKKLGO_00301_putC,BS_ycgN [C] COG1012 NAD-dependent aldehyde dehydrogenases,97.1,515,15
OFBKKLGO_00303_putR_1,BS_ycgP [TQ] COG2508 Regulator of polyketide synthase expression,89.5,411,43
OFBKKLGO_00304_ycgT,BS_ycgT [O] COG0492 Thioredoxin reductase,85.3,334,49
OFBKKLGO_00307_nasD,BS_nasD [C] COG1251 NAD(P)H-nitrite reductase,95.2,805,39
OFBKKLGO_00309_yciC,BS_yciC [R] COG0523 Putative GTPases (G3E family),83.8,396,63
OFBKKLGO_00311_group_4434,BS_yckC [S] COG1714 Predicted membrane protein/domain,63.6,151,48
OFBKKLGO_00316_hxlB,BS_yckF [M] COG0794 Predicted sugar phosphate isomerase involved in capsule formation,73.5,185,49
OFBKKLGO_00318_hxlR,BS_yckH [K] COG1733 Predicted transcriptional regulators,85.7,119,17
OFBKKLGO_00322_srfAD,BS_srfAD [Q] COG3208 Predicted thioesterase involved in non-ribosomal peptide biosynthesis,79.2,236,49
OFBKKLGO_00325_group_4437,BS_yczE [S] COG2364 Predicted membrane protein,72.6,208,57
OFBKKLGO_00326_tcyC,"BS_yckI [E] COG1126 ABC-type polar amino acid transport system, ATPase component",93.9,247,15
OFBKKLGO_00327_tcyB,"BS_yckJ [E] COG0765 ABC-type amino acid transport system, permease component",90.6,234,22
OFBKKLGO_00328_tcyA,"BS_yckK [ET] COG0834 ABC-type amino acid transport/signal transduction systems, periplasmic component/domain",84.0,268,40
OFBKKLGO_00329_gltC_1,BS_yclA [K] COG0583 Transcriptional regulator,80.0,290,58
OFBKKLGO_00330_bsdB,BS_yclB [H] COG0163 3-polyprenyl-4-hydroxybenzoate decarboxylase,85.9,191,27
OFBKKLGO_00331_bsdC,BS_yclC [H] COG0043 3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases,96.0,473,19
OFBKKLGO_00334_dtpT,BS_yclF [E] COG3104 Dipeptide/tripeptide permease,82.3,491,87
OFBKKLGO_00340_ntaA,"BS_yxeK [C] COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",92.5,438,33
OFBKKLGO_00341_scmL,BS_yxeL [KR] COG0454 Histone acetyltransferase HPA2 and related acetyltransferases,80.1,161,32
OFBKKLGO_00342_yxeM,"BS_yxeM [ET] COG0834 ABC-type amino acid transport/signal transduction systems, periplasmic component/domain",87.5,264,32
OFBKKLGO_00343_yxeN,"BS_yxeN [E] COG0765 ABC-type amino acid transport system, permease component",90.6,224,21
OFBKKLGO_00344_yxeO,"BS_yxeO [E] COG1126 ABC-type polar amino acid transport system, ATPase component",85.5,249,36
OFBKKLGO_00345_scmP_2,BS_yxeP [R] COG1473 Metal-dependent amidase/aminoacylase/carboxypeptidase,78.7,380,78
OFBKKLGO_00347_lolD,"BS_yclH [V] COG1136 ABC-type antimicrobial peptide transport system, ATPase component",85.0,226,34
OFBKKLGO_00349_srrA_1,BS_yclJ [TK] COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,90.7,227,21
OFBKKLGO_00350_rcsC_1,BS_yclK [T] COG0642 Signal transduction histidine kinase,76.7,476,105
OFBKKLGO_00351_rapF_1,BS_rapC [R] COG0457 FOG: TPR repeat,80.4,382,75
OFBKKLGO_00354_yclM,BS_yclM [E] COG0527 Aspartokinases,81.3,454,85
OFBKKLGO_00355_yclN,"BS_yclN [P] COG4606 ABC-type enterochelin transport system, permease component",89.8,315,32
OFBKKLGO_00356_yclO,"BS_yclO [P] COG4605 ABC-type enterochelin transport system, permease component",85.4,315,46
OFBKKLGO_00357_yclP,"BS_yclP [P] COG4604 ABC-type enterochelin transport system, ATPase component",87.7,252,31
OFBKKLGO_00358_yclQ,"BS_yclQ [P] COG4607 ABC-type enterochelin transport system, periplasmic component",73.5,317,83
OFBKKLGO_00359_farB,BS_ycnB [GEPR] COG0477 Permeases of the major facilitator superfamily,85.4,471,69
OFBKKLGO_00360_group_4443,BS_ycnC [K] COG1309 Transcriptional regulator,66.9,290,95
OFBKKLGO_00361_nfrA2,BS_ycnD [C] COG0778 Nitroreductase,80.7,249,47
OFBKKLGO_00362_ycnE,BS_ycnE [S] COG1359 Uncharacterized conserved protein,86.3,95,13
OFBKKLGO_00363_group_3436,BS_yczG [K] COG0640 Predicted transcriptional regulators,82.7,104,18
OFBKKLGO_00364_gabR_1,BS_ycnF [KE] COG1167 Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs,72.6,468,127
OFBKKLGO_00366_gabD,BS_ycnH [C] COG1012 NAD-dependent aldehyde dehydrogenases,89.0,462,51
OFBKKLGO_00367_glcU,BS_ycxE [G] COG4975 Putative glucose uptake permease,89.5,287,30
OFBKKLGO_00368_gdh,BS_gdh [IQR] COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases),89.3,261,28
OFBKKLGO_00370_ycnJ,BS_ycnJ_2 [P] COG1276 Putative copper export protein,65.1,418,145
OFBKKLGO_00371_ycnK,BS_ycnK [KG] COG1349 Transcriptional regulators of sugar metabolism,67.7,189,61
OFBKKLGO_00373_mtlA,"BS_mtlA_1 [G] COG2213 Phosphotransferase system, mannitol-specific IIBC component",78.8,476,99
OFBKKLGO_00374_mtlF,"BS_mtlA_2 [G] COG4668 Mannitol/fructose-specific phosphotransferase system, IIA domain",87.3,118,15
OFBKKLGO_00375_mtlD,BS_mtlD [G] COG0246 Mannitol-1-phosphate/altronate dehydrogenases,74.8,361,86
OFBKKLGO_00378_ycsE,BS_ycsE [R] COG0561 Predicted hydrolases of the HAD superfamily,83.5,249,41
OFBKKLGO_00380_group_4445,BS_ycsG [P] COG1914 Mn2+ and Fe2+ transporters of the NRAMP family,84.7,386,59
OFBKKLGO_00381_group_429,BS_ycsI [S] COG4336 Uncharacterized conserved protein,77.0,257,59
OFBKKLGO_00382_pxpB,BS_ycsJ_1 [E] COG2049 Allophanate hydrolase subunit 1,70.9,230,65
OFBKKLGO_00384_kipR,BS_ycsO [K] COG1414 Transcriptional regulator,78.9,246,52
OFBKKLGO_00387_group_2122,BS_yczJ [R] COG2329 Uncharacterized enzyme involved in biosynthesis of extracellular polysaccharides,83.2,95,16
