Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00101_mrnC,WP_013350800.1 Mini-ribonuclease 3 [Bacillus amyloliquefaciens],100.0,143,0
OFBKKLGO_00102_group_5781,WP_013350801.1 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB [Bacillus amyloliquefaciens],100.0,249,0
OFBKKLGO_00103_yacP,WP_013350802.1 MULTISPECIES: ribosome-dependent mRNA decay endonuclease Rae1/YacP [Bacillus],100.0,170,0
OFBKKLGO_00104_sigH,WP_014469614.1 RNA polymerase sporulation sigma factor SigH [Bacillus amyloliquefaciens],99.5,218,1
OFBKKLGO_00105_secE,WP_003156422.1 MULTISPECIES: preprotein translocase subunit SecE [Bacillus],100.0,59,0
OFBKKLGO_00106_nusG_1,WP_014469615.1 transcription termination/antitermination protein NusG [Bacillus amyloliquefaciens],100.0,177,0
OFBKKLGO_00107_rplK,WP_007615231.1 50S ribosomal protein L11 [Bacillus velezensis],100.0,141,0
OFBKKLGO_00108_rplA,WP_013350805.1 MULTISPECIES: 50S ribosomal protein L1 [Bacillus],100.0,232,0
OFBKKLGO_00110_rplJ,WP_013350806.1 50S ribosomal protein L10 [Bacillus amyloliquefaciens],100.0,166,0
OFBKKLGO_00111_rplL,AGA20719.1 50S ribosomal protein L7 / L12 [Bacillus subtilis subsp. subtilis str. BSP1],100.0,123,0
OFBKKLGO_00112_rlmG,WP_013350807.1 class I SAM-dependent methyltransferase [Bacillus amyloliquefaciens],100.0,201,0
OFBKKLGO_00113_rpoB,WP_013350808.1 DNA-directed RNA polymerase subunit beta [Bacillus amyloliquefaciens],99.9,1193,1
OFBKKLGO_00114_rpoC,WP_014469616.1 DNA-directed RNA polymerase subunit beta' [Bacillus amyloliquefaciens],99.9,1199,1
OFBKKLGO_00115_rplGB,WP_014469617.1 50S ribosomal protein L7ae-like protein [Bacillus amyloliquefaciens],100.0,81,0
OFBKKLGO_00116_rpsL,WP_003156445.1 MULTISPECIES: 30S ribosomal protein S12 [Bacillus],100.0,138,0
OFBKKLGO_00117_rpsG,WP_003156447.1 MULTISPECIES: 30S ribosomal protein S7 [Bacillus],100.0,156,0
OFBKKLGO_00118_fusA,WP_007410399.1 MULTISPECIES: elongation factor G [Bacillus],100.0,692,0
OFBKKLGO_00119_tuf,WP_014469618.1 elongation factor Tu [Bacillus amyloliquefaciens],100.0,396,0
OFBKKLGO_00121_rpsJ,WP_003156464.1 MULTISPECIES: 30S ribosomal protein S10 [Bacteria],100.0,102,0
OFBKKLGO_00122_rplC,WP_003156465.1 MULTISPECIES: 50S ribosomal protein L3 [Bacillus],100.0,209,0
OFBKKLGO_00123_rplD,WP_007615239.1 MULTISPECIES: 50S ribosomal protein L4 [Bacillus],100.0,207,0
OFBKKLGO_00124_rplW,WP_003156467.1 MULTISPECIES: 50S ribosomal protein L23 [Bacillus],100.0,95,0
OFBKKLGO_00125_rplB,WP_014469619.1 50S ribosomal protein L2 [Bacillus amyloliquefaciens],100.0,277,0
OFBKKLGO_00126_rpsS,WP_003156472.1 MULTISPECIES: 30S ribosomal protein S19 [Bacillus],100.0,92,0
OFBKKLGO_00127_rplV,WP_003156475.1 MULTISPECIES: 50S ribosomal protein L22 [Bacillus],100.0,113,0
OFBKKLGO_00128_rpsC,WP_003156476.1 MULTISPECIES: 30S ribosomal protein S3 [Bacillus],99.5,218,1
OFBKKLGO_00129_rplP,WP_003156478.1 MULTISPECIES: 50S ribosomal protein L16 [Bacillus],100.0,144,0
OFBKKLGO_00130_rpmC,WP_003156482.1 MULTISPECIES: 50S ribosomal protein L29 [Bacillus],100.0,66,0
OFBKKLGO_00131_rpsQ,WP_013350812.1 30S ribosomal protein S17 [Bacillus amyloliquefaciens],100.0,87,0
OFBKKLGO_00132_rplN,WP_003156485.1 MULTISPECIES: 50S ribosomal protein L14 [Bacillus],100.0,122,0
OFBKKLGO_00133_rplX,WP_014469620.1 MULTISPECIES: 50S ribosomal protein L24 [Bacillus],100.0,103,0
OFBKKLGO_00134_rplE,WP_013350814.1 50S ribosomal protein L5 [Bacillus amyloliquefaciens],100.0,179,0
OFBKKLGO_00135_rpsN1,WP_003156488.1 MULTISPECIES: 30S ribosomal protein S14 [Bacteria],98.4,61,1
OFBKKLGO_00136_rpsH,WP_003156489.1 MULTISPECIES: 30S ribosomal protein S8 [Bacillus],100.0,132,0
OFBKKLGO_00137_rplF,WP_014469621.1 50S ribosomal protein L6 [Bacillus amyloliquefaciens],100.0,179,0
OFBKKLGO_00138_rplR,WP_013350816.1 MULTISPECIES: 50S ribosomal protein L18 [Bacillus],100.0,120,0
OFBKKLGO_00139_rpsE,A7Z0Q5.1 RecName: Full=30S ribosomal protein S5 [Bacillus velezensis FZB42],100.0,168,0
OFBKKLGO_00140_rpmD,WP_003156497.1 MULTISPECIES: 50S ribosomal protein L30 [Bacteria],100.0,59,0
OFBKKLGO_00141_rplO,WP_003156499.1 MULTISPECIES: 50S ribosomal protein L15 [Bacillus],100.0,146,0
OFBKKLGO_00142_secY,WP_013350817.1 preprotein translocase subunit SecY [Bacillus amyloliquefaciens],99.8,431,1
OFBKKLGO_00143_adk,WP_014469622.1 MULTISPECIES: adenylate kinase [Bacillus amyloliquefaciens group],100.0,217,0
OFBKKLGO_00144_map,WP_013350819.1 type I methionyl aminopeptidase [Bacillus amyloliquefaciens],100.0,248,0
OFBKKLGO_00145_infA,WP_003156508.1 MULTISPECIES: translation initiation factor IF-1 [Bacteria],100.0,72,0
OFBKKLGO_00146_rpmJ,WP_003156543.1 unnamed protein product,100.0,37,0
OFBKKLGO_00147_rpsM,WP_003156545.1 MULTISPECIES: 30S ribosomal protein S13 [Bacillus],100.0,121,0
OFBKKLGO_00148_rpsK,WP_003156547.1 MULTISPECIES: 30S ribosomal protein S11 [Bacillus],100.0,131,0
OFBKKLGO_00149_rpoA,WP_003156549.1 MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Bacillus],100.0,314,0
OFBKKLGO_00150_rplQ,WP_003156550.1 MULTISPECIES: 50S ribosomal protein L17 [Bacillus],100.0,120,0
OFBKKLGO_00151_ecfA1,WP_013350820.1 energy-coupling factor ABC transporter ATP-binding protein [Bacillus amyloliquefaciens],99.6,281,1
OFBKKLGO_00152_ecfA2,WP_013350821.1 energy-coupling factor ABC transporter ATP-binding protein [Bacillus amyloliquefaciens],99.7,289,1
OFBKKLGO_00153_ecfT,WP_013350822.1 energy-coupling factor transporter transmembrane protein EcfT [Bacillus amyloliquefaciens],100.0,265,0
OFBKKLGO_00154_truA,WP_013350823.1 tRNA pseudouridine(38-40) synthase TruA [Bacillus amyloliquefaciens],100.0,247,0
OFBKKLGO_00156_rplM,WP_013350824.1 MULTISPECIES: 50S ribosomal protein L13 [Bacillus],100.0,145,0
OFBKKLGO_00157_rpsI,WP_003225846.1 MULTISPECIES: 30S ribosomal protein S9 [Bacillus],99.2,130,1
OFBKKLGO_00158_group_4401,WP_013350825.1 class I SAM-dependent methyltransferase [Bacillus amyloliquefaciens],100.0,255,0
OFBKKLGO_00160_group_3394,AEB61704.1 putative alkylated deoxynucleotide triphosphohydrolase [Bacillus amyloliquefaciens LL3],100.0,149,0
OFBKKLGO_00161_cwlD,WP_013350827.1 N-acetylmuramoyl-L-alanine amidase CwlD [Bacillus amyloliquefaciens],100.0,237,0
OFBKKLGO_00162_salA,WP_013350828.1 Mrp/NBP35 family ATP-binding protein [Bacillus amyloliquefaciens],100.0,350,0
OFBKKLGO_00163_gerD,WP_013350829.1 hypothetical protein [Bacillus amyloliquefaciens],100.0,185,0
OFBKKLGO_00165_group_3395,WP_013350831.1 polysaccharide deacetylase family sporulation protein PdaB [Bacillus amyloliquefaciens],100.0,253,0
OFBKKLGO_00168_lysJ,WP_013350833.1 aspartate aminotransferase family protein [Bacillus amyloliquefaciens],99.8,422,1
OFBKKLGO_00169_group_3396,WP_013350834.1 hypothetical protein [Bacillus amyloliquefaciens],99.7,316,1
OFBKKLGO_00170_gutB_1,WP_013350835.1 alcohol dehydrogenase catalytic domain-containing protein [Bacillus amyloliquefaciens],100.0,348,0
OFBKKLGO_00172_panS_1,AEK87317.1 putative sodium dependent transporter [Bacillus amyloliquefaciens XH7],100.0,327,0
OFBKKLGO_00174_feuC_1,AEB22358.1 ABC-transporter for the siderophores enterobactin and bacillibactin FeuC [Bacillus amyloliquefaciens TA208],100.0,338,0
OFBKKLGO_00175_feuB_1,WP_014469629.1 iron ABC transporter permease [Bacillus amyloliquefaciens],100.0,335,0
OFBKKLGO_00176_feuA,WP_014469630.1 iron-hydroxamate ABC transporter substrate-binding protein [Bacillus amyloliquefaciens],100.0,318,0
OFBKKLGO_00178_group_5792,WP_014469633.1 DUF1343 domain-containing protein [Bacillus amyloliquefaciens],100.0,414,0
OFBKKLGO_00179_nagZ,WP_014469634.1 glycoside hydrolase family 3 C-terminal domain-containing protein [Bacillus amyloliquefaciens],100.0,637,0
OFBKKLGO_00181_group_3400,WP_014469636.1 PTS transporter subunit EIIC [Bacillus amyloliquefaciens],100.0,455,0
OFBKKLGO_00182_murQ,WP_014469638.1 N-acetylmuramic acid 6-phosphate etherase [Bacillus amyloliquefaciens],100.0,309,0
OFBKKLGO_00184_group_3402,WP_014469640.1 DUF523 domain-containing protein [Bacillus amyloliquefaciens],100.0,150,0
OFBKKLGO_00185_sigW,WP_003156766.1 MULTISPECIES: RNA polymerase sigma factor SigW [Bacillus],100.0,187,0
OFBKKLGO_00186_rsiW,WP_014469641.1 anti-sigma-W factor RsiW [Bacillus amyloliquefaciens],100.0,208,0
OFBKKLGO_00187_cdaA,EIF11742.1 DisA bacterial checkpoint controller nucleotide-binding protein [Bacillus sp. 5B6],100.0,273,0
OFBKKLGO_00188_cdaR_1,WP_014469642.1 YbbR-like domain-containing protein [Bacillus amyloliquefaciens],100.0,476,0
OFBKKLGO_00189_glmM,WP_013350853.1 phosphoglucosamine mutase [Bacillus amyloliquefaciens],100.0,448,0
OFBKKLGO_00197_dkgB,WP_014471380.1 aldo/keto reductase [Bacillus amyloliquefaciens],100.0,281,0
OFBKKLGO_00201_yifK,WP_014469651.1 amino acid permease [Bacillus amyloliquefaciens],99.8,461,1
OFBKKLGO_00209_yolA,WP_014469659.1 DUF4879 domain-containing protein [Bacillus amyloliquefaciens],100.0,158,0
OFBKKLGO_00210_csgA,AEK87357.1 sporulation-specific SASP protein [Bacillus amyloliquefaciens XH7],100.0,83,0
OFBKKLGO_00219_group_1688,WP_014469665.1 DUF2651 family protein [Bacillus amyloliquefaciens],98.8,80,1
OFBKKLGO_00222_group_2645,CBI41335.1 hypothetical protein RBAM_002670 [Bacillus amyloliquefaciens DSM 7] [Bacillus amyloliquefaciens DSM 7 = ATCC 23350],100.0,156,0
OFBKKLGO_00224_purT,WP_014469669.1 phosphoribosylglycinamide formyltransferase 2 [Bacillus amyloliquefaciens],100.0,384,0
OFBKKLGO_00225_group_16181,WP_013350885.1 CDP-diacylglycerol--serine O-phosphatidyltransferase [Bacillus amyloliquefaciens],100.0,176,0
OFBKKLGO_00226_dedA,WP_013350886.1 MULTISPECIES: DedA family protein [Bacillus amyloliquefaciens group],100.0,162,0
OFBKKLGO_00227_psd,WP_013350887.1 phosphatidylserine decarboxylase [Bacillus amyloliquefaciens],100.0,271,0
OFBKKLGO_00229_group_5798,WP_014469670.1 rhodanese-related sulfurtransferase [Bacillus amyloliquefaciens],100.0,322,0
OFBKKLGO_00230_gltP,WP_014469671.1 cation:dicarboxylase symporter family transporter [Bacillus amyloliquefaciens],99.8,417,1
OFBKKLGO_00231_ilvE,AEK87380.1 branched-chain amino acid aminotransferase [Bacillus amyloliquefaciens XH7],100.0,355,0
OFBKKLGO_00232_rocC_2,AEB22414.1 aminoacid permease [Bacillus amyloliquefaciens TA208],99.8,500,1
OFBKKLGO_00233_mmuM,WP_014469674.1 homocysteine S-methyltransferase [Bacillus amyloliquefaciens],100.0,315,0
OFBKKLGO_00234_alsT_2,WP_014469675.1 alanine:cation symporter family protein [Bacillus amyloliquefaciens],100.0,478,0
OFBKKLGO_00235_glsA1,WP_014469676.1 glutaminase [Bacillus amyloliquefaciens],100.0,327,0
OFBKKLGO_00247_group_4415,WP_013350905.1 DUF2512 family protein [Bacillus amyloliquefaciens],100.0,127,0
OFBKKLGO_00248_cwlJ,AEK87399.1 cell wall hydrolase [Bacillus amyloliquefaciens XH7],100.0,142,0
OFBKKLGO_00250_tatAd,WP_014469689.1 MULTISPECIES: twin-arginine translocase TatA/TatE family subunit [Bacillus amyloliquefaciens group],100.0,65,0
OFBKKLGO_00251_tatC1,ARW37408.1 Sec-independent protein translocase protein TatCd [Bacillus amyloliquefaciens],100.0,261,0
OFBKKLGO_00252_pcp,"3RNZ_A Chain A, Pyrrolidone-carboxylate peptidase [Bacillus amyloliquefaciens]",100.0,215,0
OFBKKLGO_00254_emrY,WP_038462575.1 lincomycin efflux MFS transporter Lmr(B) [Bacillus amyloliquefaciens],100.0,477,0
OFBKKLGO_00255_yxaF_1,WP_014469693.1 TetR/AcrR family transcriptional regulator [Bacillus amyloliquefaciens],100.0,188,0
OFBKKLGO_00256_estA,WP_014469694.1 triacylglycerol lipase [Bacillus amyloliquefaciens],100.0,214,0
OFBKKLGO_00257_group_4416,WP_014469695.1 SEC-C domain-containing protein [Bacillus amyloliquefaciens],99.7,356,1
OFBKKLGO_00262_cwlK,WP_014469700.1 M15 family metallopeptidase [Bacillus amyloliquefaciens],100.0,167,0
OFBKKLGO_00268_znuA,WP_013350924.1 zinc ABC transporter substrate-binding protein [Bacillus amyloliquefaciens],99.7,319,1
OFBKKLGO_00269_znuC,CBI41385.1 zinc transport in via ABC system [Bacillus amyloliquefaciens DSM 7] [Bacillus amyloliquefaciens DSM 7 = ATCC 23350],100.0,231,0
OFBKKLGO_00270_znuB,AOC89817.1 High-affinity zinc uptake system membrane protein ZnuB [Bacillus amyloliquefaciens],100.0,277,0
OFBKKLGO_00271_group_1698,WP_013350927.1 LLM class flavin-dependent oxidoreductase [Bacillus amyloliquefaciens],99.7,331,1
OFBKKLGO_00272_yceC,WP_013350928.1 TerD family protein [Bacillus amyloliquefaciens],100.0,198,0
OFBKKLGO_00273_yceD_1,WP_003156648.1 MULTISPECIES: TerD family protein [Bacillus],100.0,193,0
OFBKKLGO_00274_yceD_2,WP_013350929.1 TerD family protein [Bacillus amyloliquefaciens],100.0,192,0
OFBKKLGO_00275_alx,WP_013350930.1 TerC family protein [Bacillus amyloliquefaciens],99.6,257,1
OFBKKLGO_00276_group_4420,WP_013350931.1 YceG family protein [Bacillus amyloliquefaciens],100.0,540,0
OFBKKLGO_00277_group_16236,WP_014469703.1 toxic anion resistance protein [Bacillus amyloliquefaciens],100.0,362,0
OFBKKLGO_00278_naiP,WP_014469704.1 MFS transporter [Bacillus amyloliquefaciens],100.0,400,0
OFBKKLGO_00280_opuAA,WP_014469706.1 glycine betaine/L-proline ABC transporter ATP-binding protein [Bacillus amyloliquefaciens],100.0,418,0
OFBKKLGO_00281_opuAB,WP_014469707.1 proline/glycine betaine ABC transporter permease [Bacillus amyloliquefaciens],100.0,282,0
OFBKKLGO_00282_opuAC,WP_013350936.1 glycine/betaine ABC transporter [Bacillus amyloliquefaciens],100.0,293,0
OFBKKLGO_00283_scmP_1,WP_014469708.1 M20 peptidase aminoacylase family protein [Bacillus amyloliquefaciens],100.0,373,0
OFBKKLGO_00285_group_1707,WP_014469710.1 hypothetical protein [Bacillus amyloliquefaciens],100.0,134,0
OFBKKLGO_00287_ldh_2,WP_014471413.1 L-lactate dehydrogenase [Bacillus amyloliquefaciens],100.0,317,0
OFBKKLGO_00291_group_1196,WP_013350946.1 YqcI/YcgG family protein [Bacillus amyloliquefaciens],100.0,253,0
OFBKKLGO_00294_nadE,WP_014469717.1 ammonia-dependent NAD(+) synthetase [Bacillus amyloliquefaciens],100.0,272,0
OFBKKLGO_00296_dgoT,WP_014469718.1 MFS transporter [Bacillus amyloliquefaciens],99.8,436,1
OFBKKLGO_00297_aroK,WP_013350951.1 MULTISPECIES: shikimate kinase [Bacillus amyloliquefaciens group],100.0,186,0
OFBKKLGO_00298_cah,WP_013350952.1 acetylxylan esterase [Bacillus amyloliquefaciens],100.0,318,0
OFBKKLGO_00300_putB,CBI41419.1 proline oxidase [Bacillus amyloliquefaciens DSM 7] [Bacillus amyloliquefaciens DSM 7 = ATCC 23350],100.0,303,0
OFBKKLGO_00301_putC,WP_014469720.1 L-glutamate gamma-semialdehyde dehydrogenase [Bacillus amyloliquefaciens],100.0,515,0
OFBKKLGO_00303_putR_1,WP_013350957.1 PucR family transcriptional regulator [Bacillus amyloliquefaciens],100.0,411,0
OFBKKLGO_00304_ycgT,WP_013350958.1 NAD(P)/FAD-dependent oxidoreductase [Bacillus amyloliquefaciens],100.0,336,0
OFBKKLGO_00307_nasD,WP_013350961.1 NADPH-nitrite reductase [Bacillus amyloliquefaciens],100.0,805,0
OFBKKLGO_00309_yciC,WP_013350962.1 GTP-binding protein [Bacillus amyloliquefaciens],100.0,400,0
OFBKKLGO_00311_group_4434,WP_013350964.1 RDD family protein [Bacillus amyloliquefaciens],100.0,144,0
OFBKKLGO_00312_group_3426,WP_013350965.1 YckD family protein [Bacillus amyloliquefaciens],100.0,107,0
OFBKKLGO_00315_group_5810,QFG70493.1 Sporulation-specific extracellular nuclease NucA [Bacillus amyloliquefaciens],99.3,145,1
OFBKKLGO_00316_hxlB,WP_013350969.1 6-phospho-3-hexuloisomerase [Bacillus amyloliquefaciens],100.0,185,0
OFBKKLGO_00318_hxlR,WP_013350971.1 helix-turn-helix transcriptional regulator [Bacillus amyloliquefaciens],99.2,120,1
OFBKKLGO_00322_srfAD,WP_014469728.1 surfactin biosynthesis thioesterase SrfAD [Bacillus amyloliquefaciens],100.0,243,0
