ID,GO,CLASSFICATION
OFBKKLGO_00056_ctc,translation,BIOLOGICAL_PROCESS
OFBKKLGO_00057_pth,aminoacyl-tRNA hydrolase activity,MOLECULAR_FUNCTION
OFBKKLGO_00058_fin,regulation of gene expression,BIOLOGICAL_PROCESS
OFBKKLGO_00059_mfd,nucleic acid binding,MOLECULAR_FUNCTION
OFBKKLGO_00059_mfd,damaged DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00059_mfd,DNA repair,BIOLOGICAL_PROCESS
OFBKKLGO_00061_murJ_1,membrane,CELLULAR_COMPONENT
OFBKKLGO_00062_group_3077,methyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00063_group_5774,RNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00066_divIC,cell division,BIOLOGICAL_PROCESS
OFBKKLGO_00067_pnp_1,nucleic acid binding,MOLECULAR_FUNCTION
OFBKKLGO_00071_tilS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00071_tilS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00072_hpt,nucleoside metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00072_hpt,purine ribonucleoside salvage,BIOLOGICAL_PROCESS
OFBKKLGO_00073_ftsH,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00073_ftsH,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00073_ftsH,membrane,CELLULAR_COMPONENT
OFBKKLGO_00073_ftsH,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00074_coaX,pantothenate kinase activity,MOLECULAR_FUNCTION
OFBKKLGO_00075_hslO,protein folding,BIOLOGICAL_PROCESS
OFBKKLGO_00075_hslO,unfolded protein binding,MOLECULAR_FUNCTION
OFBKKLGO_00077_cysK_1,cysteine biosynthetic process from serine,BIOLOGICAL_PROCESS
OFBKKLGO_00077_cysK_1,cysteine synthase activity,MOLECULAR_FUNCTION
OFBKKLGO_00078_pabB,biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00080_pabC,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00080_pabC,4-amino-4-deoxychorismate lyase activity,MOLECULAR_FUNCTION
OFBKKLGO_00081_folP,pteridine-containing compound metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00081_folP,cellular metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00081_folP,dihydropteroate synthase activity,MOLECULAR_FUNCTION
OFBKKLGO_00082_folB,dihydroneopterin aldolase activity,MOLECULAR_FUNCTION
OFBKKLGO_00083_sulD,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,MOLECULAR_FUNCTION
OFBKKLGO_00085_dusB,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00085_dusB,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
OFBKKLGO_00085_dusB,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00085_dusB,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
OFBKKLGO_00086_lysS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00086_lysS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00086_lysS,nucleic acid binding,MOLECULAR_FUNCTION
OFBKKLGO_00086_lysS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00088_ctsR,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00089_mcsA,protein binding,MOLECULAR_FUNCTION
OFBKKLGO_00090_mcsB,"phosphotransferase activity, nitrogenous group as acceptor",MOLECULAR_FUNCTION
OFBKKLGO_00090_mcsB,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00090_mcsB,kinase activity,MOLECULAR_FUNCTION
OFBKKLGO_00090_mcsB,phosphocreatine biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00091_clpC,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00091_clpC,protein binding,MOLECULAR_FUNCTION
OFBKKLGO_00095_ispD,isoprenoid biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00095_ispD,isoprenoid biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00095_ispD,cytidylyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00096_ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",MOLECULAR_FUNCTION
OFBKKLGO_00096_ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity",MOLECULAR_FUNCTION
OFBKKLGO_00097_gltX,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00097_gltX,tRNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00097_gltX,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00097_gltX,glutamyl-tRNA aminoacylation,BIOLOGICAL_PROCESS
OFBKKLGO_00097_gltX,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00097_gltX,glutamyl-tRNA aminoacylation,BIOLOGICAL_PROCESS
OFBKKLGO_00099_cysE,transferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00099_cysE,cytoplasm,CELLULAR_COMPONENT
OFBKKLGO_00099_cysE,cytoplasm,CELLULAR_COMPONENT
OFBKKLGO_00100_cysS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00100_cysS,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00100_cysS,cysteinyl-tRNA aminoacylation,BIOLOGICAL_PROCESS
OFBKKLGO_00101_mrnC,ribonuclease III activity,MOLECULAR_FUNCTION
OFBKKLGO_00102_group_5781,methyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00102_group_5781,RNA processing,BIOLOGICAL_PROCESS
OFBKKLGO_00102_group_5781,RNA processing,BIOLOGICAL_PROCESS
OFBKKLGO_00104_sigH,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00104_sigH,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00104_sigH,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00104_sigH,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00105_secE,membrane,CELLULAR_COMPONENT
OFBKKLGO_00105_secE,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00106_nusG_1,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00106_nusG_1,"regulation of DNA-templated transcription, elongation",BIOLOGICAL_PROCESS
OFBKKLGO_00107_rplK,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00108_rplA,large ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00110_rplJ,ribosome biogenesis,BIOLOGICAL_PROCESS
OFBKKLGO_00110_rplJ,large ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00111_rplL,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00111_rplL,translation,BIOLOGICAL_PROCESS
OFBKKLGO_00112_rlmG,methyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00113_rpoB,DNA-directed 5'-3' RNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00113_rpoB,"transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00113_rpoB,DNA-directed 5'-3' RNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00113_rpoB,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00113_rpoB,DNA-directed 5'-3' RNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00113_rpoB,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00113_rpoB,DNA-directed 5'-3' RNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00114_rpoC,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00114_rpoC,DNA-directed 5'-3' RNA polymerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00114_rpoC,"transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00114_rpoC,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00116_rpsL,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00116_rpsL,small ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00117_rpsG,translation,BIOLOGICAL_PROCESS
OFBKKLGO_00117_rpsG,small ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00117_rpsG,translation,BIOLOGICAL_PROCESS
OFBKKLGO_00118_fusA,GTP binding,MOLECULAR_FUNCTION
OFBKKLGO_00118_fusA,translational elongation,BIOLOGICAL_PROCESS
OFBKKLGO_00118_fusA,GTP binding,MOLECULAR_FUNCTION
OFBKKLGO_00119_tuf,translational elongation,BIOLOGICAL_PROCESS
OFBKKLGO_00119_tuf,GTP binding,MOLECULAR_FUNCTION
OFBKKLGO_00119_tuf,GTP binding,MOLECULAR_FUNCTION
OFBKKLGO_00121_rpsJ,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00121_rpsJ,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00122_rplC,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00123_rplD,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00124_rplW,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00125_rplB,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00125_rplB,large ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00126_rpsS,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00126_rpsS,RNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00126_rpsS,small ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00127_rplV,large ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00127_rplV,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00128_rpsC,translation,BIOLOGICAL_PROCESS
OFBKKLGO_00128_rpsC,nucleic acid binding,MOLECULAR_FUNCTION
OFBKKLGO_00128_rpsC,RNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00129_rplP,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00129_rplP,rRNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00130_rpmC,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00131_rpsQ,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00132_rplN,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00132_rplN,large ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00133_rplX,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00133_rplX,RNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00134_rplE,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00135_rpsN1,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00136_rpsH,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00137_rplF,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00137_rplF,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00138_rplR,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00139_rpsE,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00139_rpsE,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00139_rpsE,small ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00140_rpmD,large ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00141_rplO,large ribosomal subunit,CELLULAR_COMPONENT
OFBKKLGO_00141_rplO,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00142_secY,protein transport,BIOLOGICAL_PROCESS
OFBKKLGO_00143_adk,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00143_adk,adenylate kinase activity,MOLECULAR_FUNCTION
OFBKKLGO_00143_adk,"phosphotransferase activity, phosphate group as acceptor",MOLECULAR_FUNCTION
OFBKKLGO_00144_map,aminopeptidase activity,MOLECULAR_FUNCTION
OFBKKLGO_00145_infA,translation initiation factor activity,MOLECULAR_FUNCTION
OFBKKLGO_00145_infA,translation initiation factor activity,MOLECULAR_FUNCTION
OFBKKLGO_00146_rpmJ,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00147_rpsM,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00147_rpsM,nucleic acid binding,MOLECULAR_FUNCTION
OFBKKLGO_00147_rpsM,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00148_rpsK,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00149_rpoA,protein dimerization activity,MOLECULAR_FUNCTION
OFBKKLGO_00149_rpoA,"transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00149_rpoA,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00149_rpoA,"transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00149_rpoA,protein dimerization activity,MOLECULAR_FUNCTION
OFBKKLGO_00150_rplQ,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00151_ecfA1,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00151_ecfA1,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00152_ecfA2,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00152_ecfA2,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00153_ecfT,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00154_truA,pseudouridine synthesis,BIOLOGICAL_PROCESS
OFBKKLGO_00154_truA,RNA modification,BIOLOGICAL_PROCESS
OFBKKLGO_00154_truA,pseudouridine synthase activity,MOLECULAR_FUNCTION
OFBKKLGO_00156_rplM,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00157_rpsI,ribosome,CELLULAR_COMPONENT
OFBKKLGO_00158_group_4401,methyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00161_cwlD,peptidoglycan catabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00162_salA,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00165_group_3395,carbohydrate metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00165_group_3395,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00168_lysJ,transaminase activity,MOLECULAR_FUNCTION
OFBKKLGO_00168_lysJ,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00169_group_3396,inositol phosphate dephosphorylation,BIOLOGICAL_PROCESS
OFBKKLGO_00170_gutB_1,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00170_gutB_1,oxidoreductase activity,MOLECULAR_FUNCTION
OFBKKLGO_00172_panS_1,membrane,CELLULAR_COMPONENT
OFBKKLGO_00174_feuC_1,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00175_feuB_1,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00179_nagZ,"hydrolase activity, hydrolyzing O-glycosyl compounds",MOLECULAR_FUNCTION
OFBKKLGO_00181_group_3400,phosphoenolpyruvate-dependent sugar phosphotransferase system,BIOLOGICAL_PROCESS
OFBKKLGO_00181_group_3400,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00181_group_3400,membrane,CELLULAR_COMPONENT
OFBKKLGO_00182_murQ,carbon-oxygen lyase activity,MOLECULAR_FUNCTION
OFBKKLGO_00182_murQ,carbohydrate derivative binding,MOLECULAR_FUNCTION
OFBKKLGO_00185_sigW,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00185_sigW,"regulation of transcription, DNA-templated",BIOLOGICAL_PROCESS
OFBKKLGO_00187_cdaA,adenylate cyclase activity,MOLECULAR_FUNCTION
OFBKKLGO_00189_glmM,organic substance metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00189_glmM,carbohydrate metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00189_glmM,magnesium ion binding,MOLECULAR_FUNCTION
OFBKKLGO_00189_glmM,magnesium ion binding,MOLECULAR_FUNCTION
OFBKKLGO_00189_glmM,carbohydrate metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00197_dkgB,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00197_dkgB,oxidoreductase activity,MOLECULAR_FUNCTION
OFBKKLGO_00201_yifK,amino acid transport,BIOLOGICAL_PROCESS
OFBKKLGO_00201_yifK,membrane,CELLULAR_COMPONENT
OFBKKLGO_00222_group_2645,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00224_purT,magnesium ion binding,MOLECULAR_FUNCTION
OFBKKLGO_00224_purT,metal ion binding,MOLECULAR_FUNCTION
OFBKKLGO_00224_purT,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00225_group_16181,membrane,CELLULAR_COMPONENT
OFBKKLGO_00227_psd,phosphatidylserine decarboxylase activity,MOLECULAR_FUNCTION
OFBKKLGO_00230_gltP,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00230_gltP,L-glutamate transmembrane transport,BIOLOGICAL_PROCESS
OFBKKLGO_00231_ilvE,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00231_ilvE,branched-chain amino acid metabolic process,BIOLOGICAL_PROCESS
OFBKKLGO_00232_rocC_2,membrane,CELLULAR_COMPONENT
OFBKKLGO_00232_rocC_2,amino acid transport,BIOLOGICAL_PROCESS
OFBKKLGO_00233_mmuM,betaine-homocysteine S-methyltransferase activity,MOLECULAR_FUNCTION
OFBKKLGO_00234_alsT_2,alanine:sodium symporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00235_glsA1,glutaminase activity,MOLECULAR_FUNCTION
OFBKKLGO_00248_cwlJ,hydrolase activity,MOLECULAR_FUNCTION
OFBKKLGO_00250_tatAd,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00250_tatAd,protein transport,BIOLOGICAL_PROCESS
OFBKKLGO_00251_tatC1,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00252_pcp,proteolysis,BIOLOGICAL_PROCESS
OFBKKLGO_00252_pcp,proteolysis,BIOLOGICAL_PROCESS
OFBKKLGO_00254_emrY,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00254_emrY,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00254_emrY,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00255_yxaF_1,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00256_estA,hydrolase activity,MOLECULAR_FUNCTION
OFBKKLGO_00257_group_4416,DNA binding,MOLECULAR_FUNCTION
OFBKKLGO_00262_cwlK,peptidase activity,MOLECULAR_FUNCTION
OFBKKLGO_00268_znuA,cell adhesion,BIOLOGICAL_PROCESS
OFBKKLGO_00268_znuA,metal ion binding,MOLECULAR_FUNCTION
OFBKKLGO_00269_znuC,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00270_znuB,ATP-binding cassette (ABC) transporter complex,CELLULAR_COMPONENT
OFBKKLGO_00271_group_1698,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MOLECULAR_FUNCTION
OFBKKLGO_00275_alx,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00278_naiP,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00278_naiP,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00278_naiP,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00280_opuAA,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00280_opuAA,ATP binding,MOLECULAR_FUNCTION
OFBKKLGO_00281_opuAB,membrane,CELLULAR_COMPONENT
OFBKKLGO_00282_opuAC,ATP-binding cassette (ABC) transporter complex,CELLULAR_COMPONENT
OFBKKLGO_00283_scmP_1,hydrolase activity,MOLECULAR_FUNCTION
OFBKKLGO_00287_ldh_2,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00287_ldh_2,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00287_ldh_2,catalytic activity,MOLECULAR_FUNCTION
OFBKKLGO_00287_ldh_2,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00287_ldh_2,oxidoreductase activity,MOLECULAR_FUNCTION
OFBKKLGO_00287_ldh_2,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00294_nadE,NAD+ synthase activity,MOLECULAR_FUNCTION
OFBKKLGO_00294_nadE,glutaminase activity,MOLECULAR_FUNCTION
OFBKKLGO_00296_dgoT,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00296_dgoT,integral component of membrane,CELLULAR_COMPONENT
OFBKKLGO_00296_dgoT,transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00298_cah,"hydrolase activity, acting on ester bonds",MOLECULAR_FUNCTION
OFBKKLGO_00300_putB,proline dehydrogenase activity,MOLECULAR_FUNCTION
OFBKKLGO_00300_putB,proline catabolic process to glutamate,BIOLOGICAL_PROCESS
OFBKKLGO_00301_putC,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00301_putC,oxidoreductase activity,MOLECULAR_FUNCTION
OFBKKLGO_00301_putC,oxidoreductase activity,MOLECULAR_FUNCTION
OFBKKLGO_00304_ycgT,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00304_ycgT,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00307_nasD,oxidation-reduction process,BIOLOGICAL_PROCESS
OFBKKLGO_00307_nasD,oxidoreductase activity,MOLECULAR_FUNCTION
OFBKKLGO_00307_nasD,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
OFBKKLGO_00307_nasD,nitrate assimilation,BIOLOGICAL_PROCESS
OFBKKLGO_00307_nasD,iron-sulfur cluster binding,MOLECULAR_FUNCTION
OFBKKLGO_00307_nasD,NADP binding,MOLECULAR_FUNCTION
OFBKKLGO_00316_hxlB,isomerase activity,MOLECULAR_FUNCTION
OFBKKLGO_00316_hxlB,carbohydrate derivative binding,MOLECULAR_FUNCTION
OFBKKLGO_00322_srfAD,biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00322_srfAD,biosynthetic process,BIOLOGICAL_PROCESS
OFBKKLGO_00326_tcyC,ATPase-coupled amino acid transmembrane transporter activity,MOLECULAR_FUNCTION
OFBKKLGO_00326_tcyC,ATP binding,MOLECULAR_FUNCTION
