ID,PATHWAY
OFBKKLGO_00022_dnaX,Termination of translesion DNA synthesis|Reactome|R-HSA-5656169;Translesion synthesis by POLI|Reactome|R-HSA-5656121;HDR through Homologous Recombination (HRR)|Reactome|R-HSA-5685942;Dual incision in TC-NER|Reactome|R-HSA-6782135;Polymerase switching on the C-strand of the telomere|Reactome|R-HSA-174411;Gap-filling DNA repair synthesis and ligation in GG-NER|Reactome|R-HSA-5696397;Translesion Synthesis by POLH|Reactome|R-HSA-110320;Gap-filling DNA repair synthesis and ligation in TC-NER|Reactome|R-HSA-6782210;Recognition of DNA damage by PCNA-containing replication complex|Reactome|R-HSA-110314;Polymerase switching|Reactome|R-HSA-69091;Translesion synthesis by REV1|Reactome|R-HSA-110312;Translesion synthesis by POLK|Reactome|R-HSA-5655862;PCNA-Dependent Long Patch Base Excision Repair|Reactome|R-HSA-5651801;Dual Incision in GG-NER|Reactome|R-HSA-5696400
OFBKKLGO_00032_tmk,Pyrimidine deoxyribonucleotide phosphorylation|MetaCyc|PWY-7197;Pyrimidine deoxyribonucleotides biosynthesis from CTP|MetaCyc|PWY-7210;Pyrimidine deoxyribonucleotides de novo biosynthesis III|MetaCyc|PWY-6545;Pyrimidine deoxyribonucleotides de novo biosynthesis IV|MetaCyc|PWY-7198;Pyrimidine metabolism|KEGG|00240+2.7.4.9;Pyrimidine deoxyribonucleotides de novo biosynthesis II|MetaCyc|PWY-7187;Pyrimidine deoxyribonucleotides de novo biosynthesis I|MetaCyc|PWY-7184
OFBKKLGO_00032_tmk,Pyrimidine deoxyribonucleotides de novo biosynthesis III|MetaCyc|PWY-6545;Pyrimidine deoxyribonucleotide phosphorylation|MetaCyc|PWY-7197;Interconversion of nucleotide di- and triphosphates|Reactome|R-HSA-499943;Pyrimidine deoxyribonucleotides de novo biosynthesis IV|MetaCyc|PWY-7198;Pyrimidine deoxyribonucleotides biosynthesis from CTP|MetaCyc|PWY-7210;Pyrimidine deoxyribonucleotides de novo biosynthesis I|MetaCyc|PWY-7184;Pyrimidine metabolism|KEGG|00240+2.7.4.9;Pyrimidine deoxyribonucleotides de novo biosynthesis II|MetaCyc|PWY-7187
OFBKKLGO_00032_tmk,Pyrimidine deoxyribonucleotides de novo biosynthesis IV|MetaCyc|PWY-7198;Pyrimidine deoxyribonucleotide phosphorylation|MetaCyc|PWY-7197;Pyrimidine deoxyribonucleotides de novo biosynthesis I|MetaCyc|PWY-7184;Pyrimidine deoxyribonucleotides de novo biosynthesis II|MetaCyc|PWY-7187;Pyrimidine deoxyribonucleotides de novo biosynthesis III|MetaCyc|PWY-6545;Pyrimidine metabolism|KEGG|00240+2.7.4.9;Pyrimidine deoxyribonucleotides biosynthesis from CTP|MetaCyc|PWY-7210;Interconversion of nucleotide di- and triphosphates|Reactome|R-HSA-499943
OFBKKLGO_00039_group_821,Resolution of D-loop Structures through Holliday Junction Intermediates|Reactome|R-HSA-5693568;Fanconi Anemia Pathway|Reactome|R-HSA-6783310
OFBKKLGO_00040_rsmI,Synthesis of diphthamide-EEF2|Reactome|R-HSA-5358493
OFBKKLGO_00042_metG,Selenocompound metabolism|KEGG|00450+6.1.1.10;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.10
OFBKKLGO_00042_metG,Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.10;Selenocompound metabolism|KEGG|00450+6.1.1.10
OFBKKLGO_00042_metG,Cytosolic tRNA aminoacylation|Reactome|R-HSA-379716
OFBKKLGO_00046_rsmA,Transcriptional activation of mitochondrial biogenesis|Reactome|R-HSA-2151201;rRNA modification in the mitochondrion|Reactome|R-HSA-6793080
OFBKKLGO_00050_ispE,Terpenoid backbone biosynthesis|KEGG|00900+2.7.1.148;Methylerythritol phosphate pathway II|MetaCyc|PWY-7560
OFBKKLGO_00052_yabJ,Threonine catabolism|Reactome|R-HSA-8849175
OFBKKLGO_00054_glmU,Synthesis of GDP-mannose|Reactome|R-HSA-446205
OFBKKLGO_00054_glmU,UDP-N-acetyl-D-galactosamine biosynthesis II|MetaCyc|PWY-5514;Amino sugar and nucleotide sugar metabolism|KEGG|00520+2.3.1.157+2.7.7.23
OFBKKLGO_00054_glmU,Amino sugar and nucleotide sugar metabolism|KEGG|00520+2.3.1.157+2.7.7.23;UDP-N-acetyl-D-galactosamine biosynthesis II|MetaCyc|PWY-5514
OFBKKLGO_00055_prs,Pentose phosphate pathway|KEGG|00030+2.7.6.1;Purine metabolism|KEGG|00230+2.7.6.1
OFBKKLGO_00055_prs,Pentose phosphate pathway|KEGG|00030+2.7.6.1;5-Phosphoribose 1-diphosphate biosynthesis|Reactome|R-HSA-73843;Purine metabolism|KEGG|00230+2.7.6.1
OFBKKLGO_00055_prs,5-Phosphoribose 1-diphosphate biosynthesis|Reactome|R-HSA-73843;Purine metabolism|KEGG|00230+2.7.6.1;Pentose phosphate pathway|KEGG|00030+2.7.6.1
OFBKKLGO_00056_ctc,Selenoamino acid metabolism|Reactome|R-HSA-2408522;Cytosolic tRNA aminoacylation|Reactome|R-HSA-379716
OFBKKLGO_00056_ctc,Cytosolic tRNA aminoacylation|Reactome|R-HSA-379716;Selenoamino acid metabolism|Reactome|R-HSA-2408522
OFBKKLGO_00057_pth,L-cysteine biosynthesis II (tRNA-dependent)|MetaCyc|PWY-6308
OFBKKLGO_00062_group_3077,Synthesis of diphthamide-EEF2|Reactome|R-HSA-5358493
OFBKKLGO_00063_group_5774,"Formation of a pool of free 40S subunits|Reactome|R-HSA-72689;L13a-mediated translational silencing of Ceruloplasmin expression|Reactome|R-HSA-156827;Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)|Reactome|R-HSA-975957;Translation initiation complex formation|Reactome|R-HSA-72649;Formation of the ternary complex, and subsequently, the 43S complex|Reactome|R-HSA-72695;SRP-dependent cotranslational protein targeting to membrane|Reactome|R-HSA-1799339;GTP hydrolysis and joining of the 60S ribosomal subunit|Reactome|R-HSA-72706;Viral mRNA Translation|Reactome|R-HSA-192823;Major pathway of rRNA processing in the nucleolus and cytosol|Reactome|R-HSA-6791226;Regulation of expression of SLITs and ROBOs|Reactome|R-HSA-9010553;Ribosomal scanning and start codon recognition|Reactome|R-HSA-72702;Selenocysteine synthesis|Reactome|R-HSA-2408557;Eukaryotic Translation Termination|Reactome|R-HSA-72764;Response of EIF2AK4 (GCN2) to amino acid deficiency|Reactome|R-HSA-9633012;Peptide chain elongation|Reactome|R-HSA-156902;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|Reactome|R-HSA-975956"
OFBKKLGO_00071_tilS,tRNA modification in the nucleus and cytosol|Reactome|R-HSA-6782315
OFBKKLGO_00072_hpt,Adenine and adenosine salvage III|MetaCyc|PWY-6609;Guanine and guanosine salvage|MetaCyc|PWY-6620;Adenine salvage|MetaCyc|PWY-6610;Drug metabolism - other enzymes|KEGG|00983+2.4.2.8;Purine metabolism|KEGG|00230+2.4.2.8;Guanine and guanosine salvage II|MetaCyc|PWY-6599
OFBKKLGO_00073_ftsH,Processing of SMDT1|Reactome|R-HSA-8949664
OFBKKLGO_00074_coaX,Pantothenate and CoA biosynthesis|KEGG|00770+2.7.1.33;Phosphopantothenate biosynthesis II|MetaCyc|PWY-3961
OFBKKLGO_00077_cysK_1,Cysteine formation from homocysteine|Reactome|R-HSA-1614603
OFBKKLGO_00077_cysK_1,Sulfur metabolism|KEGG|00920+2.5.1.47;Cysteine and methionine metabolism|KEGG|00270+2.5.1.47;Seleno-amino acid biosynthesis (plants)|MetaCyc|PWY-6936
OFBKKLGO_00077_cysK_1,Sulfur metabolism|KEGG|00920+2.5.1.47;Seleno-amino acid biosynthesis (plants)|MetaCyc|PWY-6936;Cysteine and methionine metabolism|KEGG|00270+2.5.1.47
OFBKKLGO_00078_pabB,"4-hydroxy-2(1H)-quinolone biosynthesis|MetaCyc|PWY-6661;Acridone alkaloid biosynthesis|MetaCyc|PWY-5958;Phenazine biosynthesis|KEGG|00405+4.1.3.27;Phenylalanine, tyrosine and tryptophan biosynthesis|KEGG|00400+4.1.3.27"
OFBKKLGO_00078_pabB,"4-hydroxy-2(1H)-quinolone biosynthesis|MetaCyc|PWY-6661;Phenylalanine, tyrosine and tryptophan biosynthesis|KEGG|00400+4.1.3.27;Phenazine biosynthesis|KEGG|00405+4.1.3.27;Acridone alkaloid biosynthesis|MetaCyc|PWY-5958"
OFBKKLGO_00079_pabA,"Phenylalanine, tyrosine and tryptophan biosynthesis|KEGG|00400+4.1.3.27;Acridone alkaloid biosynthesis|MetaCyc|PWY-5958;Phenazine biosynthesis|KEGG|00405+4.1.3.27;4-hydroxy-2(1H)-quinolone biosynthesis|MetaCyc|PWY-6661"
OFBKKLGO_00080_pabC,Branched-chain amino acid catabolism|Reactome|R-HSA-70895
OFBKKLGO_00080_pabC,4-aminobenzoate biosynthesis|MetaCyc|PWY-6543;Folate biosynthesis|KEGG|00790+4.1.3.38
OFBKKLGO_00081_folP,"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG|Reactome|R-HSA-3359469;Cobalamin (Cbl, vitamin B12) transport and metabolism|Reactome|R-HSA-196741;Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE|Reactome|R-HSA-3359467;Methylation|Reactome|R-HSA-156581;Sulfur amino acid metabolism|Reactome|R-HSA-1614635"
OFBKKLGO_00081_folP,"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE|Reactome|R-HSA-3359467;Cobalamin (Cbl, vitamin B12) transport and metabolism|Reactome|R-HSA-196741;Sulfur amino acid metabolism|Reactome|R-HSA-1614635;Methylation|Reactome|R-HSA-156581;Defective MTR causes methylmalonic aciduria and homocystinuria type cblG|Reactome|R-HSA-3359469"
OFBKKLGO_00081_folP,Tetrahydrofolate biosynthesis|MetaCyc|PWY-6614;Folate biosynthesis|KEGG|00790+2.5.1.15
OFBKKLGO_00082_folB,6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)|MetaCyc|PWY-6797;Folate biosynthesis|KEGG|00790+4.1.2.25;6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|MetaCyc|PWY-6147;Tetrahydromethanopterin biosynthesis|MetaCyc|PWY-6148;6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|MetaCyc|PWY-7539
OFBKKLGO_00082_folB,6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)|MetaCyc|PWY-6797;6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|MetaCyc|PWY-7539;Folate biosynthesis|KEGG|00790+4.1.2.25;Tetrahydromethanopterin biosynthesis|MetaCyc|PWY-6148;6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|MetaCyc|PWY-6147
OFBKKLGO_00082_folB,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation|Reactome|R-HSA-1474151"
OFBKKLGO_00083_sulD,6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)|MetaCyc|PWY-7852;6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|MetaCyc|PWY-6147;6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)|MetaCyc|PWY-6797;Folate biosynthesis|KEGG|00790+2.7.6.3;6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)|MetaCyc|PWY-7853;Tetrahydromethanopterin biosynthesis|MetaCyc|PWY-6148;6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|MetaCyc|PWY-7539
OFBKKLGO_00083_sulD,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|MetaCyc|PWY-6147;Folate biosynthesis|KEGG|00790+2.7.6.3;6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|MetaCyc|PWY-7539;6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)|MetaCyc|PWY-6797;6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)|MetaCyc|PWY-7852;Tetrahydromethanopterin biosynthesis|MetaCyc|PWY-6148;6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)|MetaCyc|PWY-7853
OFBKKLGO_00086_lysS,Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.6;Cytosolic tRNA aminoacylation|Reactome|R-HSA-379716;Selenoamino acid metabolism|Reactome|R-HSA-2408522;Mitochondrial tRNA aminoacylation|Reactome|R-HSA-379726
OFBKKLGO_00086_lysS,Selenoamino acid metabolism|Reactome|R-HSA-2408522;Cytosolic tRNA aminoacylation|Reactome|R-HSA-379716;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.6;Mitochondrial tRNA aminoacylation|Reactome|R-HSA-379726
OFBKKLGO_00086_lysS,Cytosolic tRNA aminoacylation|Reactome|R-HSA-379716;Selenoamino acid metabolism|Reactome|R-HSA-2408522;Mitochondrial tRNA aminoacylation|Reactome|R-HSA-379726;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.6
OFBKKLGO_00090_mcsB,Creatine metabolism|Reactome|R-HSA-71288
OFBKKLGO_00095_ispD,Terpenoid backbone biosynthesis|KEGG|00900+2.7.7.60;Methylerythritol phosphate pathway II|MetaCyc|PWY-7560
OFBKKLGO_00095_ispD,Methylerythritol phosphate pathway II|MetaCyc|PWY-7560;Terpenoid backbone biosynthesis|KEGG|00900+2.7.7.60
OFBKKLGO_00096_ispF,Terpenoid backbone biosynthesis|KEGG|00900+4.6.1.12;Methylerythritol phosphate pathway II|MetaCyc|PWY-7560
OFBKKLGO_00096_ispF,Methylerythritol phosphate pathway II|MetaCyc|PWY-7560;Terpenoid backbone biosynthesis|KEGG|00900+4.6.1.12
OFBKKLGO_00097_gltX,Mitochondrial tRNA aminoacylation|Reactome|R-HSA-379726;Porphyrin and chlorophyll metabolism|KEGG|00860+6.1.1.17;Tetrapyrrole biosynthesis I (from glutamate)|MetaCyc|PWY-5188;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.17
OFBKKLGO_00097_gltX,Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.17;Mitochondrial tRNA aminoacylation|Reactome|R-HSA-379726;Porphyrin and chlorophyll metabolism|KEGG|00860+6.1.1.17;Tetrapyrrole biosynthesis I (from glutamate)|MetaCyc|PWY-5188
OFBKKLGO_00097_gltX,Tetrapyrrole biosynthesis I (from glutamate)|MetaCyc|PWY-5188;Porphyrin and chlorophyll metabolism|KEGG|00860+6.1.1.17;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.17;Mitochondrial tRNA aminoacylation|Reactome|R-HSA-379726
OFBKKLGO_00097_gltX,Porphyrin and chlorophyll metabolism|KEGG|00860+6.1.1.17;Tetrapyrrole biosynthesis I (from glutamate)|MetaCyc|PWY-5188;Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.17;Mitochondrial tRNA aminoacylation|Reactome|R-HSA-379726
OFBKKLGO_00099_cysE,"L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)|MetaCyc|PWY-7870;N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis|MetaCyc|PWY-8071;Seleno-amino acid biosynthesis (plants)|MetaCyc|PWY-6936;Biosynthesis of various secondary metabolites - part 3|KEGG|00997+2.3.1.30;Sulfur metabolism|KEGG|00920+2.3.1.30;Cysteine and methionine metabolism|KEGG|00270+2.3.1.30;D-cycloserine biosynthesis|MetaCyc|PWY-7274"
OFBKKLGO_00099_cysE,Synthesis of GDP-mannose|Reactome|R-HSA-446205
OFBKKLGO_00099_cysE,"Sulfur metabolism|KEGG|00920+2.3.1.30;Seleno-amino acid biosynthesis (plants)|MetaCyc|PWY-6936;L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)|MetaCyc|PWY-7870;Biosynthesis of various secondary metabolites - part 3|KEGG|00997+2.3.1.30;Cysteine and methionine metabolism|KEGG|00270+2.3.1.30;D-cycloserine biosynthesis|MetaCyc|PWY-7274;N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis|MetaCyc|PWY-8071"
OFBKKLGO_00099_cysE,"L-cysteine biosynthesis VII (from S-sulfo-L-cysteine)|MetaCyc|PWY-7870;Cysteine and methionine metabolism|KEGG|00270+2.3.1.30;D-cycloserine biosynthesis|MetaCyc|PWY-7274;Biosynthesis of various secondary metabolites - part 3|KEGG|00997+2.3.1.30;Seleno-amino acid biosynthesis (plants)|MetaCyc|PWY-6936;Sulfur metabolism|KEGG|00920+2.3.1.30;N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis|MetaCyc|PWY-8071"
OFBKKLGO_00100_cysS,Aminoacyl-tRNA biosynthesis|KEGG|00970+6.1.1.16
OFBKKLGO_00101_mrnC,MicroRNA (miRNA) biogenesis|Reactome|R-HSA-203927
OFBKKLGO_00102_group_5781,rRNA modification in the mitochondrion|Reactome|R-HSA-6793080
OFBKKLGO_00105_secE,SRP-dependent cotranslational protein targeting to membrane|Reactome|R-HSA-1799339;ER-Phagosome pathway|Reactome|R-HSA-1236974;Insertion of tail-anchored proteins into the endoplasmic reticulum membrane|Reactome|R-HSA-9609523
OFBKKLGO_00106_nusG_1,RNA polymerase II transcribes snRNA genes|Reactome|R-HSA-6807505;Formation of HIV-1 elongation complex containing HIV-1 Tat|Reactome|R-HSA-167200;mRNA Capping|Reactome|R-HSA-72086;Pausing and recovery of Tat-mediated HIV elongation|Reactome|R-HSA-167238;RNA Pol II CTD phosphorylation and interaction with CE|Reactome|R-HSA-77075;Pausing and recovery of HIV elongation|Reactome|R-HSA-167290;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection|Reactome|R-HSA-167160;RNA Polymerase II Transcription Elongation|Reactome|R-HSA-75955;Tat-mediated elongation of the HIV-1 transcript|Reactome|R-HSA-167246;RNA Polymerase II Pre-transcription Events|Reactome|R-HSA-674695;Abortive elongation of HIV-1 transcript in the absence of Tat|Reactome|R-HSA-167242;Tat-mediated HIV elongation arrest and recovery|Reactome|R-HSA-167243;TP53 Regulates Transcription of DNA Repair Genes|Reactome|R-HSA-6796648;Formation of RNA Pol II elongation complex|Reactome|R-HSA-112382;HIV elongation arrest and recovery|Reactome|R-HSA-167287;Formation of the HIV-1 Early Elongation Complex|Reactome|R-HSA-167158;Formation of the Early Elongation Complex|Reactome|R-HSA-113418;Formation of HIV elongation complex in the absence of HIV Tat|Reactome|R-HSA-167152
OFBKKLGO_00106_nusG_1,Formation of the Early Elongation Complex|Reactome|R-HSA-113418;Pausing and recovery of Tat-mediated HIV elongation|Reactome|R-HSA-167238;RNA Polymerase II Transcription Elongation|Reactome|R-HSA-75955;HIV elongation arrest and recovery|Reactome|R-HSA-167287;RNA Pol II CTD phosphorylation and interaction with CE during HIV infection|Reactome|R-HSA-167160;TP53 Regulates Transcription of DNA Repair Genes|Reactome|R-HSA-6796648;Tat-mediated HIV elongation arrest and recovery|Reactome|R-HSA-167243;Tat-mediated elongation of the HIV-1 transcript|Reactome|R-HSA-167246;Abortive elongation of HIV-1 transcript in the absence of Tat|Reactome|R-HSA-167242;Formation of the HIV-1 Early Elongation Complex|Reactome|R-HSA-167158;RNA polymerase II transcribes snRNA genes|Reactome|R-HSA-6807505;Pausing and recovery of HIV elongation|Reactome|R-HSA-167290;Formation of RNA Pol II elongation complex|Reactome|R-HSA-112382;RNA Pol II CTD phosphorylation and interaction with CE|Reactome|R-HSA-77075;RNA Polymerase II Pre-transcription Events|Reactome|R-HSA-674695;Formation of HIV-1 elongation complex containing HIV-1 Tat|Reactome|R-HSA-167200;mRNA Capping|Reactome|R-HSA-72086;Formation of HIV elongation complex in the absence of HIV Tat|Reactome|R-HSA-167152
OFBKKLGO_00107_rplK,Mitochondrial translation elongation|Reactome|R-HSA-5389840;Mitochondrial translation initiation|Reactome|R-HSA-5368286;Mitochondrial translation termination|Reactome|R-HSA-5419276
OFBKKLGO_00107_rplK,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)|Reactome|R-HSA-975957;Response of EIF2AK4 (GCN2) to amino acid deficiency|Reactome|R-HSA-9633012;Regulation of expression of SLITs and ROBOs|Reactome|R-HSA-9010553;Selenocysteine synthesis|Reactome|R-HSA-2408557;Peptide chain elongation|Reactome|R-HSA-156902;SRP-dependent cotranslational protein targeting to membrane|Reactome|R-HSA-1799339;GTP hydrolysis and joining of the 60S ribosomal subunit|Reactome|R-HSA-72706;L13a-mediated translational silencing of Ceruloplasmin expression|Reactome|R-HSA-156827;Viral mRNA Translation|Reactome|R-HSA-192823;Major pathway of rRNA processing in the nucleolus and cytosol|Reactome|R-HSA-6791226;Eukaryotic Translation Termination|Reactome|R-HSA-72764;Formation of a pool of free 40S subunits|Reactome|R-HSA-72689;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|Reactome|R-HSA-975956
OFBKKLGO_00108_rplA,Formation of a pool of free 40S subunits|Reactome|R-HSA-72689;GTP hydrolysis and joining of the 60S ribosomal subunit|Reactome|R-HSA-72706;SRP-dependent cotranslational protein targeting to membrane|Reactome|R-HSA-1799339;L13a-mediated translational silencing of Ceruloplasmin expression|Reactome|R-HSA-156827;Major pathway of rRNA processing in the nucleolus and cytosol|Reactome|R-HSA-6791226;Viral mRNA Translation|Reactome|R-HSA-192823;Regulation of expression of SLITs and ROBOs|Reactome|R-HSA-9010553;Peptide chain elongation|Reactome|R-HSA-156902;Response of EIF2AK4 (GCN2) to amino acid deficiency|Reactome|R-HSA-9633012;Selenocysteine synthesis|Reactome|R-HSA-2408557;Eukaryotic Translation Termination|Reactome|R-HSA-72764;Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)|Reactome|R-HSA-975957;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|Reactome|R-HSA-975956
OFBKKLGO_00108_rplA,Response of EIF2AK4 (GCN2) to amino acid deficiency|Reactome|R-HSA-9633012;SRP-dependent cotranslational protein targeting to membrane|Reactome|R-HSA-1799339;Peptide chain elongation|Reactome|R-HSA-156902;Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)|Reactome|R-HSA-975957;Major pathway of rRNA processing in the nucleolus and cytosol|Reactome|R-HSA-6791226;Regulation of expression of SLITs and ROBOs|Reactome|R-HSA-9010553;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)|Reactome|R-HSA-975956;Selenocysteine synthesis|Reactome|R-HSA-2408557;Formation of a pool of free 40S subunits|Reactome|R-HSA-72689;L13a-mediated translational silencing of Ceruloplasmin expression|Reactome|R-HSA-156827;Viral mRNA Translation|Reactome|R-HSA-192823;Eukaryotic Translation Termination|Reactome|R-HSA-72764;GTP hydrolysis and joining of the 60S ribosomal subunit|Reactome|R-HSA-72706
OFBKKLGO_00111_rplL,Mitochondrial translation initiation|Reactome|R-HSA-5368286;Mitochondrial translation elongation|Reactome|R-HSA-5389840;Mitochondrial translation termination|Reactome|R-HSA-5419276
OFBKKLGO_00111_rplL,Mitochondrial translation elongation|Reactome|R-HSA-5389840;Mitochondrial translation termination|Reactome|R-HSA-5419276;Mitochondrial translation initiation|Reactome|R-HSA-5368286
OFBKKLGO_00111_rplL,Mitochondrial translation elongation|Reactome|R-HSA-5389840;Mitochondrial translation initiation|Reactome|R-HSA-5368286;Mitochondrial translation termination|Reactome|R-HSA-5419276
OFBKKLGO_00116_rpsL,Mitochondrial translation initiation|Reactome|R-HSA-5368286;Mitochondrial translation elongation|Reactome|R-HSA-5389840;Mitochondrial translation termination|Reactome|R-HSA-5419276
