Query_ID,Subject_ID,Identity,Alignment Length,Mismatches
OFBKKLGO_00311_group_4434,gnl|TC-DB|P42401|2.A.133.1.11 Uncharacterized protein YckC OS=Bacillus subtilis (strain 168) GN=yckC PE=4 SV=2,63.6,151,48
OFBKKLGO_00325_group_4437,gnl|TC-DB|E0U2C9|2.A.115.2.1 Integral inner membrane protein regulating antibiotic production OS=Bacillus subtilis subsp. spizizenii (strain ATCC 23059 / NRRL B-14472 / W23) GN=yczE PE=4 SV=1,74.0,208,54
OFBKKLGO_00326_tcyC,gnl|TC-DB|P39456|3.A.1.3.14 Probable amino-acid ABC transporter ATP-binding protein yckI - Bacillus subtilis.,94.3,247,14
OFBKKLGO_00327_tcyB,gnl|TC-DB|P42200|3.A.1.3.14 Probable amino-acid ABC transporter permease protein yckJ - Bacillus subtilis.,90.6,234,22
OFBKKLGO_00328_tcyA,gnl|TC-DB|P42199|3.A.1.3.14 Probable amino-acid ABC transporter extracellular binding protein yckK precursor - Bacillus subtilis.,84.7,268,38
OFBKKLGO_00334_dtpT,gnl|TC-DB|Q5KYD1|2.A.17.1.7 Di-tripeptide ABC transporter (Permease) OS=Geobacillus kaustophilus (strain HTA426) GN=GK2020 PE=3 SV=1,65.5,496,167
OFBKKLGO_00339_yndE_1,gnl|TC-DB|P49940|2.A.3.9.3 Spore germination protein KB - Bacillus subtilis.,71.7,361,102
OFBKKLGO_00343_yxeN,gnl|TC-DB|P0AFT2|3.A.1.3.10 Inner membrane amino-acid ABC transporter permease protein yecS - Escherichia coli.,44.8,210,113
OFBKKLGO_00344_yxeO,gnl|TC-DB|O34900|3.A.1.3.13 Probable amino-acid ABC transporter ATP-binding protein ytmN - Bacillus subtilis.,55.1,243,109
OFBKKLGO_00347_lolD,gnl|TC-DB|TXT58064|3.A.1.207.7 ABC transporter [Candidatus Lokiarchaeota archaeon],40.7,199,112
OFBKKLGO_00357_yclP,gnl|TC-DB|Q9X665|3.A.1.14.7 FhuA (FhuC) (Ferrichrome transport ATP-binding protein) - Staphylococcus aureus,41.9,229,131
OFBKKLGO_00359_farB,gnl|TC-DB|Q7A3S4|2.A.1.3.61 SA2203 protein OS=Staphylococcus aureus (strain N315) GN=SA2203 PE=4 SV=1,43.7,471,242
OFBKKLGO_00367_glcU,gnl|TC-DB|P40420|2.A.7.5.4 Glucose uptake protein GlcU OS=Bacillus subtilis (strain 168) GN=glcU PE=2 SV=2,89.5,287,30
OFBKKLGO_00373_mtlA,"gnl|TC-DB|P42956|4.A.2.1.5 PTS system, mannitol-specific IICBA component (EIICBA-Mtl) (Mannitol- permease IICBA component) (Phosphotransferase enzyme II, CBA component) (EC 2.7.1.69) (EII-Mtl) - Bacillus subtilis.",87.8,475,57
OFBKKLGO_00374_mtlF,gnl|TC-DB|C0H3V2|4.A.2.1.5 Mannitol-specific phosphotransferase enzyme IIA component OS=Bacillus subtilis (strain 168) OX=224308 GN=mtlF PE=1 SV=1,88.1,143,17
OFBKKLGO_00380_group_4445,gnl|TC-DB|P42964|2.A.55.3.2 Hypothetical protein ycsG - Bacillus subtilis.,84.9,404,61
OFBKKLGO_00389_ydhF,gnl|TC-DB|P76187|8.A.5.1.7 Oxidoreductase YdhF OS=Escherichia coli (strain K12) GN=ydhF PE=1 SV=2,51.5,301,141
OFBKKLGO_00408_kimA,gnl|TC-DB|H1X8H0|2.A.3.14.3 APC family amino acid-polyamine-organocation transporter OS=Weissella confusa LBAE C39-2 GN=WEISSC39_07015 PE=4 SV=1,51.5,613,287
OFBKKLGO_00417_mntH,gnl|TC-DB|P96593|2.A.55.3.3 Manganese transport protein MntH OS=Bacillus subtilis (strain 168) GN=mntH PE=1 SV=1,83.7,424,69
OFBKKLGO_00427_dctP,gnl|TC-DB|P37735|2.A.56.1.1 C4-dicarboxylate-binding periplasmic protein precursor - Rhodobacter capsulatus (Rhodopseudomonas capsulata).,41.8,297,171
OFBKKLGO_00430_dctA,gnl|TC-DB|P96603|2.A.23.1.6 C4-dicarboxylate transport protein OS=Bacillus subtilis GN=dctA PE=2 SV=1,94.1,421,22
OFBKKLGO_00432_bcrA_1,gnl|TC-DB|WP_048600992.1|3.A.1.156.1 ATP-binding cassette domain-containing protein [Rubeoparvulum massiliense],41.9,215,122
OFBKKLGO_00442_cshA,gnl|TC-DB|O00571|1.I.1.1.3 ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,40.2,368,197
OFBKKLGO_00532_pbuE_1,gnl|TC-DB|Q797E3|2.A.1.2.25 2.A.1.2.25 Purine efflux pump pbuE,87.3,379,48
OFBKKLGO_00536_yycB,gnl|TC-DB|P76242|2.A.1.17.3 Inner membrane transport protein YeaN OS=Escherichia coli (strain K12) GN=yeaN PE=1 SV=1,40.3,387,228
OFBKKLGO_00537_gdx_1,gnl|TC-DB|P69937|2.A.7.1.4 Quaternary ammonium compound-resistance protein sugE - Escherichia coli.,45.2,104,57
OFBKKLGO_00544_iolT,gnl|TC-DB|O34718|2.A.1.1.26 METABOLITE TRANSPORT PROTEIN - Bacillus subtilis.,80.1,473,93
OFBKKLGO_00556_tatAy,gnl|TC-DB|O05522|2.A.64.3.2 Sec-independent protein translocase protein tatAy - Bacillus subtilis.,87.3,55,7
OFBKKLGO_00557_tatC2,gnl|TC-DB|O05523|2.A.64.3.2 Sec-independent protein translocase protein tatCy - Bacillus subtilis.,83.2,250,41
OFBKKLGO_00583_gabP,gnl|TC-DB|P46349|2.A.3.1.5 GABA permease (4-amino butyrate transport carrier) (Gamma- aminobutyrate permease) - Bacillus subtilis.,84.4,462,71
OFBKKLGO_00592_pbuG,gnl|TC-DB|O34987|2.A.40.7.2 Hypoxanthine/guanine permease (Hypothetical protein) - Bacillus subtilis.,89.8,440,45
OFBKKLGO_00623_opuE,gnl|TC-DB|M1TZ79|2.A.21.2.5 Proline transporter OpuE OS=Bacillus subtilis subsp. subtilis 6051-HGW GN=opuE PE=3 SV=1,88.2,491,58
OFBKKLGO_00665_fsr,gnl|TC-DB|P52067|2.A.1.35.1 Fosmidomycin resistance protein - Escherichia coli.,43.4,385,215
OFBKKLGO_00666_yhdG_1,gnl|TC-DB|Q8R706|2.A.3.3.22 Amino acid transporters OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) GN=PotE6 PE=4 SV=1,49.4,466,228
OFBKKLGO_00668_yfmS,gnl|TC-DB|KKK40667|9.B.334.1.1 Methyl-accepting chemotaxis protein 3 [Lokiarchaeum sp. GC14_75],44.6,92,51
OFBKKLGO_00670_group_6662,gnl|TC-DB|B8F5K7|4.D.1.3.2 UDP-glucose--lipooligosaccharideglucosyltransferase involved in cell wall biogenesis OS=Haemophilus parasuis serovar 5 (strain SH0165) GN=igtF PE=4 SV=1,44.7,85,47
OFBKKLGO_00680_yflS,gnl|TC-DB|Q41364|2.A.47.3.1 2-OXOGLUTARATE/MALATE TRANSLOCATOR PRECURSOR - Spinacia oleracea (Spinach).,52.3,470,222
OFBKKLGO_00692_citM,gnl|TC-DB|P55069|2.A.11.1.1 MG2+/CITRATE COMPLEX SECONDARY TRANSPORTER - Bacillus subtilis.,89.8,430,44
OFBKKLGO_00701_nagP,gnl|TC-DB|O34521|4.A.1.1.7 Phosphotransferase system (PTS) N-acetylglucosamine-specific enzyme IICB component (YflF) - Bacillus subtilis.,85.2,452,67
OFBKKLGO_00709_treA,gnl|TC-DB|Q8A1G3|8.A.9.1.3 Alpha-amylase SusG OS=Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482) OX=226186 GN=susG PE=1 SV=1,47.7,130,65
OFBKKLGO_00724_ycaD,gnl|TC-DB|O34929|2.A.1.26.2 Uncharacterized MFS-type transporter yfkF OS=Bacillus subtilis GN=yfkF PE=3 SV=1,82.0,388,70
OFBKKLGO_00725_chaA,gnl|TC-DB|O34840|2.A.19.2.7 Putative cation exchanger yfkE OS=Bacillus subtilis GN=yfkE PE=3 SV=1,89.7,351,36
OFBKKLGO_00733_corA_2,gnl|TC-DB|O31543|1.A.35.3.3 Putative metal ion transporter YfjQ OS=Bacillus subtilis (strain 168) GN=yfjQ PE=3 SV=1,82.8,319,55
OFBKKLGO_00757_malP,"gnl|TC-DB|P54715|4.A.1.1.8 PTS system, arbutin-like IICB component (Phosphotransferase enzyme II, CB component) (EC 2.7.1.69) - Bacillus subtilis.",88.8,499,55
OFBKKLGO_00760_group_4497,gnl|TC-DB|A4XGX1|3.A.1.135.10 ABC transporter related protein OS=Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331) OX=351627 GN=Csac_0522 PE=4 SV=1,53.4,579,270
OFBKKLGO_00770_bmr3_2,gnl|TC-DB|O31563|2.A.1.3.58 Uncharacterized MFS-type transporter yfiU OS=Bacillus subtilis (strain 168) GN=yfiU PE=3 SV=1,75.2,516,126
OFBKKLGO_00772_mprF,gnl|TC-DB|WP_085537946|4.H.1.1.4 bifunctional lysylphosphatidylglycerol flippase/synthetase MprF [Bacillus licheniformis],64.2,851,302
OFBKKLGO_00787_csbB,gnl|TC-DB|Q55487|4.D.1.1.14 Uncharacterized glycosyltransferase sll0501 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=sll0501 PE=3 SV=1,42.5,301,172
OFBKKLGO_00796_group_3487,gnl|TC-DB|Q2G2M9|3.A.1.106.2 Putative multidrug export ATP-binding/permease protein SAOUHSC_02003 - Staphylococcus aureus (strain NCTC 8325).,58.2,577,240
OFBKKLGO_00797_group_16036,gnl|TC-DB|P71083|2.A.85.4.2 UPF0421 protein ygaE OS=Bacillus subtilis GN=ygaE PE=3 SV=1,90.1,353,35
OFBKKLGO_00819_ssuB_1,gnl|TC-DB|Q47538|3.A.1.17.1 Taurine transport ATP-binding protein tauB - Escherichia coli.,46.3,201,105
OFBKKLGO_00821_ssuC_1,gnl|TC-DB|O85765|3.A.1.17.2 ABC TRANSPORTER MEMBRANE SUBUNIT PRECURSOR - Pseudomonas putida.,46.9,241,128
OFBKKLGO_00839_emrB_2,gnl|TC-DB|Q7A3S4|2.A.1.3.61 SA2203 protein OS=Staphylococcus aureus (strain N315) GN=SA2203 PE=4 SV=1,45.3,408,223
OFBKKLGO_00845_bcrA_2,"gnl|TC-DB|B5YBB1|3.A.1.151.2 ABC transporter, ATP-binding protein OS=Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12) GN=DICTH_1828 PE=4 SV=1",44.4,216,115
OFBKKLGO_00851_tcyP,gnl|TC-DB|P54596|2.A.23.1.4 Hypothetical symporter yhcL - Bacillus subtilis.,87.5,441,55
OFBKKLGO_00866_glpF,gnl|TC-DB|P18156|1.A.8.2.1 GLYCEROL UPTAKE FACILITATOR PROTEIN - Bacillus subtilis.,87.6,275,33
OFBKKLGO_00885_group_3504,gnl|TC-DB|Q9KDT3|2.A.22.5.3 Transporter OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=BH1128 PE=3 SV=1,42.4,427,241
OFBKKLGO_00890_group_16026,gnl|TC-DB|O07585|1.A.112.2.4 UPF0053 protein YhdP OS=Bacillus subtilis (strain 168) GN=yhdP PE=3 SV=1,93.0,443,31
OFBKKLGO_00894_group_2741,gnl|TC-DB|O07585|1.A.112.2.4 UPF0053 protein YhdP OS=Bacillus subtilis (strain 168) GN=yhdP PE=3 SV=1,60.6,432,167
OFBKKLGO_00906_yheI,gnl|TC-DB|O07550|3.A.1.106.8 Probable multidrug resistance ABC transporter ATP-binding/permease protein yheI OS=Bacillus subtilis GN=yheI PE=1 SV=1,80.2,585,116
OFBKKLGO_00907_yheH,gnl|TC-DB|O07549|3.A.1.106.8 Probable multidrug resistance ABC transporter ATP-binding/permease protein yheH OS=Bacillus subtilis GN=yheH PE=1 SV=1,78.8,671,142
OFBKKLGO_00920_khtT_1,gnl|TC-DB|O07535|2.A.37.5.2 Putative uncharacterized protein yhaT (YhaT protein) OS=Bacillus subtilis GN=yhaT PE=4 SV=1,90.3,165,16
OFBKKLGO_00936_trpP,gnl|TC-DB|O07515|2.A.88.4.1 Probable tryptophan transport protein OS=Bacillus subtilis GN=trpP PE=2 SV=1,76.2,172,41
OFBKKLGO_00939_ecsA_1,gnl|TC-DB|P55339|3.A.1.143.1 ABC-type transporter ATP-binding protein EcsA OS=Bacillus subtilis (strain 168) GN=ecsA PE=1 SV=1,93.5,247,16
OFBKKLGO_00940_group_5922,gnl|TC-DB|P55340|3.A.1.143.1 Protein ecsB OS=Bacillus subtilis (strain 168) GN=ecsB PE=4 SV=1,75.7,408,99
OFBKKLGO_00943_group_1429,gnl|TC-DB|Q819S9|2.A.45.3.1 Transporter - Bacillus cereus (strain ATCC 14579 / DSM 31).,59.1,457,186
OFBKKLGO_00950_smc_1,gnl|TC-DB|P32399|3.A.1.155.3 Uncharacterized protein yhgE OS=Bacillus subtilis (strain 168) GN=yhgE PE=4 SV=2,74.5,774,195
OFBKKLGO_00954_gltT,gnl|TC-DB|P24943|2.A.23.1.2 PROTON/SODIUM-GLUTAMATE SYMPORT PROTEIN (GLUTAMATE-ASPARTATE CARRIER PROTEIN) - Bacillus stearothermophilus.,64.6,413,146
OFBKKLGO_00967_hemAT,gnl|TC-DB|KKK40667|9.B.334.1.1 Methyl-accepting chemotaxis protein 3 [Lokiarchaeum sp. GC14_75],67.9,56,18
OFBKKLGO_00968_petC_1,gnl|TC-DB|P70758|3.D.3.5.6 Cytochrome b6-f complex iron-sulfur subunit 3 OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=petC3 PE=3 SV=1,52.9,51,23
OFBKKLGO_00985_tetA_1,gnl|TC-DB|P39843|2.A.1.2.8 Multidrug resistance protein 2 (Multidrug-efflux transporter 2) - Bacillus subtilis.,77.8,397,88
OFBKKLGO_01025_group_16150,gnl|TC-DB|P39803|2.A.115.1.1 UPF0750 membrane protein yitT OS=Bacillus subtilis (strain 168) GN=yitT PE=3 SV=2,92.5,280,21
OFBKKLGO_01040_group_4559,gnl|TC-DB|P40866|9.A.11.1.1 Stage V sporulation protein AA - Bacillus subtilis.,85.4,206,30
OFBKKLGO_01042_group_16180,gnl|TC-DB|P40868|9.A.11.1.1 Stage V sporulation protein AC - Bacillus subtilis.,88.7,150,17
OFBKKLGO_01043_spoVAD,gnl|TC-DB|P40869|9.A.11.1.1 Stage V sporulation protein AD - Bacillus subtilis.,90.5,338,32
OFBKKLGO_01045_group_2772,gnl|TC-DB|P40870|9.A.11.1.1 Stage V sporulation protein AE - Bacillus subtilis.,83.5,200,33
OFBKKLGO_01046_gerXA,gnl|TC-DB|P31845|9.A.11.1.1 Stage V sporulation protein AF - Bacillus subtilis.,80.1,493,98
OFBKKLGO_01065_spmA,gnl|TC-DB|I6ZUE8|9.B.156.3.1 Nucleoside recognition domain-containing protein OS=Melioribacter roseus (strain P3M) GN=MROS_2404 PE=4 SV=1,45.9,170,92
OFBKKLGO_01066_spmB,gnl|TC-DB|I6ZUE8|9.B.156.3.1 Nucleoside recognition domain-containing protein OS=Melioribacter roseus (strain P3M) GN=MROS_2404 PE=4 SV=1,51.4,173,84
OFBKKLGO_01070_ccsA_1,gnl|TC-DB|B8ZT62|9.B.14.3.4 Possible cytochrome C biogenesis protein OS=Mycobacterium leprae (strain Br4923) GN=MLBr02409 PE=4 SV=1,50.0,98,48
OFBKKLGO_01077_fmnP,gnl|TC-DB|P50726|2.A.87.1.2 Hypothetical protein ypaA - Bacillus subtilis.,89.2,185,20
OFBKKLGO_01089_prsW,gnl|TC-DB|P50738|9.B.217.1.1 Protease PrsW OS=Bacillus subtilis (strain 168) GN=prsW PE=1 SV=1,92.2,218,17
OFBKKLGO_01129_petC_2,gnl|TC-DB|P46911|3.D.3.4.1 Menaquinol-cytochrome C reductase iron-sulfur subunit (Rieske iron- sulfur protein) - Bacillus subtilis.,89.2,167,18
OFBKKLGO_01130_qcrB,gnl|TC-DB|P46912|3.D.3.4.1 Menaquinol-cytochrome C reductase cytochrome B subunit - Bacillus subtilis.,97.8,224,5
OFBKKLGO_01131_petD,gnl|TC-DB|P46913|3.D.3.4.1 Menaquinol-cytochrome C reductase cytochrome B/C subunit - Bacillus subtilis.,89.4,255,27
OFBKKLGO_01164_crr,gnl|TC-DB|P50829|4.A.1.1.21 Putative phosphotransferase enzyme IIA component YpqE OS=Bacillus subtilis (strain 168) OX=224308 GN=ypqE PE=3 SV=1,73.8,168,44
OFBKKLGO_01180_pucK,gnl|TC-DB|P42086|2.A.40.3.1 XANTHINE PERMEASE - Bacillus subtilis.,82.0,133,24
OFBKKLGO_01390_group_16277,gnl|TC-DB|G4P330|2.A.88.8.3 YpdP OS=Bacillus subtilis subsp. subtilis RO-NN-1 GN=I33_2257 PE=4 SV=1,86.2,225,31
OFBKKLGO_01409_group_3569,gnl|TC-DB|P54176|1.C.113.1.1 HEMOLYSIN III (HLY-III) - Bacillus cereus.,68.3,202,64
OFBKKLGO_01448_pgpB,gnl|TC-DB|O34349|9.B.105.2.3 Putative lipid phosphate phosphatase YodM OS=Bacillus subtilis (strain 168) GN=yodM PE=3 SV=1,56.2,203,89
OFBKKLGO_01449_group_15811,gnl|TC-DB|O30472|8.A.42.1.1 Uncharacterized protein YodL OS=Bacillus subtilis (strain 168) GN=yodL PE=4 SV=3,78.4,102,22
OFBKKLGO_01455_ctpA,gnl|TC-DB|O35002|9.B.174.1.1 Carboxy-terminal processing protease CtpB OS=Bacillus subtilis (strain 168) GN=ctpB PE=1 SV=1,41.6,425,241
OFBKKLGO_01459_yodF_2,gnl|TC-DB|O34745|2.A.21.4.2 Uncharacterized symporter yodF OS=Bacillus subtilis (strain 168) GN=yodF PE=2 SV=1,90.9,496,45
OFBKKLGO_01483_panS,gnl|TC-DB|Q9K0A9|2.A.28.2.4 Transporter OS=Neisseria meningitidis serogroup B GN=NMB0705 PE=1 SV=1,57.7,312,130
OFBKKLGO_01545_mepA,gnl|TC-DB|O34474|2.A.66.1.25 Probable multidrug resistance protein yoeA OS=Bacillus subtilis (strain 168) GN=yoeA PE=3 SV=2,84.3,459,72
OFBKKLGO_01583_alsT_1,gnl|TC-DB|Q45068|2.A.25.1.5 Amino-acid carrier protein AlsT OS=Bacillus subtilis (strain 168) GN=alsT PE=2 SV=1,84.8,461,70
OFBKKLGO_01589_plsY,gnl|TC-DB|Q45064|9.B.31.1.2 Glycerol-3-phosphate acyltransferase OS=Bacillus subtilis (strain 168) GN=plsY PE=1 SV=1,88.5,192,22
OFBKKLGO_01603_group_5123,gnl|TC-DB|P45706|5.A.1.2.1 CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCDA - Bacillus subtilis.,80.0,230,46
OFBKKLGO_01674_ebrA,gnl|TC-DB|O31792|2.A.7.1.6 Multidrug resistance protein EBRA - Bacillus subtilis.,73.1,104,28
OFBKKLGO_01675_ebrB,gnl|TC-DB|O31791|2.A.7.1.6 Multidrug resistance protein EBRB - Bacillus subtilis.,67.8,115,37
OFBKKLGO_01711_pgsA,gnl|TC-DB|Q6ADZ6|4.F.1.1.7 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Leifsonia xyli subsp. xyli (strain CTCB07) GN=pgsA PE=3 SV=1,41.0,195,89
OFBKKLGO_01718_smc_4,gnl|TC-DB|A9VJD5|2.A.6.5.9 MMPL domain protein OS=Bacillus weihenstephanensis (strain KBAB4) GN=BcerKBAB4_2742 PE=4 SV=1,40.6,1034,605
OFBKKLGO_01720_ymfD,gnl|TC-DB|O31762|2.A.1.32.2 2.A.1.32.2 Bacillibactin exporter,78.1,401,88
OFBKKLGO_01747_rasP,gnl|TC-DB|O31754|9.B.149.2.1 Regulator of sigma-W protease RasP OS=Bacillus subtilis (strain 168) GN=rasP PE=1 SV=1,93.6,420,27
OFBKKLGO_01749_group_16246,gnl|TC-DB|WP_102961726.1|9.B.273.1.2 phosphatidate cytidylyltransferase [Burkholderia cenocepacia],40.4,151,69
OFBKKLGO_01764_flhA,gnl|TC-DB|P40729|3.A.6.2.1 FLAGELLAR BIOSYNTHESIS PROTEIN FLHA - Salmonella typhimurium.,41.8,670,370
OFBKKLGO_01767_fliQ,gnl|TC-DB|P0A1L5|3.A.6.2.1 Flagellar biosynthetic protein fliQ - Salmonella typhimurium.,51.2,86,42
OFBKKLGO_01768_fliP,gnl|TC-DB|P54700|3.A.6.2.1 FLAGELLAR BIOSYNTHETIC PROTEIN FLIP - Salmonella typhimurium.,53.2,205,96
OFBKKLGO_01779_yscN,gnl|TC-DB|O84676|3.A.6.3.1 Yops secretion ATPase - Chlamydia trachomatis.,52.9,420,188
OFBKKLGO_01807_ffh,gnl|TC-DB|P0AGD7|3.A.5.1.1 Signal recognition particle protein - Escherichia coli.,53.6,429,198
OFBKKLGO_01809_ftsY,gnl|TC-DB|P10121|3.A.5.1.1 CELL DIVISION PROTEIN FTSY - Escherichia coli.,52.3,279,130
OFBKKLGO_01812_acpA,gnl|TC-DB|Q6UKY4|3.D.1.6.4 Acyl carrier protein 1 - Chlamydomonas reinhardtii.,57.4,68,29
OFBKKLGO_01817_recG,gnl|TC-DB|AKM80112|3.A.11.1.5 putative ATP-dependent DNA helicase [Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17],41.8,660,360
OFBKKLGO_01838_yloB,"gnl|TC-DB|A9BJX0|3.A.3.2.21 Calcium-translocating P-type ATPase, PMCA-type OS=Petrotoga mobilis (strain DSM 10674 / SJ95) GN=Pmob_0991 PE=3 SV=1",45.9,885,440
OFBKKLGO_01846_cysP,gnl|TC-DB|O34734|2.A.20.4.1 YLNA PROTEIN - Bacillus subtilis.,87.3,354,45
OFBKKLGO_01858_pyrP,gnl|TC-DB|P39766|2.A.40.1.4 Uracil permease OS=Bacillus subtilis (strain 168) GN=pyrP PE=1 SV=2,93.8,434,27
OFBKKLGO_01868_group_16070,gnl|TC-DB|Q81WE1|9.A.4.2.1 YlmG protein - Bacillus anthracis.,64.3,70,25
OFBKKLGO_01885_ftsW_2,gnl|TC-DB|P07373|2.A.103.1.3 STAGE V SPORULATION PROTEIN E - Bacillus subtilis.,96.5,341,12
